"id","asset_id/id","name","sequence","move_check","line_date","amount","remaining_value","depreciated_value",""
"__setup__.account_asset_depreciation_line_34882","__setup__.account_asset_asset_oca_590","590/45","45","true","2015-11-18","8.16","26.41","357.3000000000003","true"
"__setup__.account_asset_depreciation_line_34883","__setup__.account_asset_asset_oca_590","590/46","46","true","2015-12-18","8.16","18.25","365.4600000000003","true"
"__setup__.account_asset_depreciation_line_99653","__setup__.account_asset_asset_oca_653","653/46","46","true","2017-10-01","94.65","189.37","4258.99","true"
"__setup__.account_asset_depreciation_line_34885","__setup__.account_asset_asset_oca_590","590/48","48","true","2016-02-18","8.16","1.93","381.7800000000003","true"
"__setup__.account_asset_depreciation_line_37646","__setup__.account_asset_asset_oca_653","653/34","34","true","2016-10-01","94.65","1325.17","3123.190000000002","true"
"__setup__.account_asset_depreciation_line_97330","__setup__.account_asset_asset_oca_590","590/1","1","false","2012-03-18","6.42","385.45","0.0","true"
"__setup__.account_asset_depreciation_line_97333","__setup__.account_asset_asset_oca_590","590/4","4","false","2012-06-18","8.16","360.97","22.7400000000001","true"
"__setup__.account_asset_depreciation_line_97336","__setup__.account_asset_asset_oca_590","590/7","7","false","2012-09-18","8.16","336.49","47.2200000000001","true"
"__setup__.account_asset_depreciation_line_97339","__setup__.account_asset_asset_oca_590","590/10","10","false","2012-12-18","8.16","312.01","71.7000000000002","true"
"__setup__.account_asset_depreciation_line_97342","__setup__.account_asset_asset_oca_590","590/13","13","false","2013-03-18","8.16","287.53","96.1800000000003","true"
"__setup__.account_asset_depreciation_line_97345","__setup__.account_asset_asset_oca_590","590/16","16","false","2013-06-18","8.16","263.05","120.66","true"
"__setup__.account_asset_depreciation_line_97348","__setup__.account_asset_asset_oca_590","590/19","19","false","2013-09-18","8.16","238.57","145.14","true"
"__setup__.account_asset_depreciation_line_97351","__setup__.account_asset_asset_oca_590","590/22","22","false","2013-12-18","8.16","214.09","169.62","true"
"__setup__.account_asset_depreciation_line_97354","__setup__.account_asset_asset_oca_590","590/25","25","false","2014-03-18","8.16","189.61","194.1","true"
"__setup__.account_asset_depreciation_line_97357","__setup__.account_asset_asset_oca_590","590/28","28","false","2014-06-18","8.16","165.13","218.58","true"
"__setup__.account_asset_depreciation_line_97360","__setup__.account_asset_asset_oca_590","590/31","31","false","2014-09-18","8.16","140.65","243.06","true"
"__setup__.account_asset_depreciation_line_97332","__setup__.account_asset_asset_oca_590","590/3","3","false","2012-05-18","8.16","369.13","14.58","true"
"__setup__.account_asset_depreciation_line_97335","__setup__.account_asset_asset_oca_590","590/6","6","false","2012-08-18","8.16","344.65","39.0600000000001","true"
"__setup__.account_asset_depreciation_line_97338","__setup__.account_asset_asset_oca_590","590/9","9","false","2012-11-18","8.16","320.17","63.5400000000002","true"
"__setup__.account_asset_depreciation_line_97341","__setup__.account_asset_asset_oca_590","590/12","12","false","2013-02-18","8.16","295.69","88.0200000000003","true"
"__setup__.account_asset_depreciation_line_97344","__setup__.account_asset_asset_oca_590","590/15","15","false","2013-05-18","8.16","271.21","112.5","true"
"__setup__.account_asset_depreciation_line_97347","__setup__.account_asset_asset_oca_590","590/18","18","false","2013-08-18","8.16","246.73","136.98","true"
"__setup__.account_asset_depreciation_line_97350","__setup__.account_asset_asset_oca_590","590/21","21","false","2013-11-18","8.16","222.25","161.46","true"
