"id","company_id/id","name","customer","title","is_company","city","street","street2","type","fax","function","mobile","phone","zip","tz","email","website","notify_email","country_id/id","state_id/id","parent_id/id"
"__setup__.res_partner_3","base.main_company","KOREC Group","true","","true","Cambridgeshire","Mensura House, Blackstone Road","Huntingdon","contact"," ","","","0044 14 8042 1914 ","PE29 6EH","","Leonie.Bryant@korecgroup.com","","none","base.uk","",""
"__setup__.res_partner_5","","Ag Business & Crop Inc.","true","","true","Palmerston Ontario","131 Frank Lambier Court","","contact"," ","","001 (519) 291-7000","001 (519) 343-5454","N0G 2P0","","info@agbusiness.ca; accounting@agbusiness.ca ","","none","base.ca","",""
"__setup__.res_partner_23","base.main_company","Sistemas Logicos SisLogic, S.A. de C.V.","true","","true","Guadalajara, Jalisco","Rio Reforma No. 1846 Int 258","","contact"," ","","+52(33)3662-6527","+52(33)3662-6527 ","44490","","rsotelo@sislogic.mx","","none","base.mx","",""
"__setup__.res_partner_91","base.main_company","SANTIAGO & CINTRA IMP. E EXP. LTDA","true","","true","Ribeirão Preto","Av. Dr. Celso Charuri","6.391 – 3º andar  - Condominio Bella Cittá ","contact"," ","","","0055 (11) 5543-3433","14098-510","","","","none","base.br","base.state_br_sp",""
"__setup__.res_partner_405","","Pix4D SA","true","","true","Lausanne","EPFL Innovation Park","","contact","","","","","1015","","","","none","base.ch","",""
"__setup__.res_partner_1020","","Caron EAST Inc.","true","","true","Cumberland","429 N. Mechanic St","","contact"," ","","(301)606-8126"," ","21502","","mikeclites@caroneast.com","","none","base.us","base.state_us_33",""
"__setup__.res_partner_1099","base.main_company","Dacosmo","true","","true","Hong Kong","Unit A10, 20/F.,Prince Industrial Building","106 King Fuk Street, San Po Kong, KLN","contact","","","","+852 9753 9203","","Europe/Zurich","lucy@dacosmo.hk","","none","base.hk","",""
"__setup__.res_partner_1137","base.main_company","Ultimate Positioning Co.,Ltd","true","","true","Pakkred , Nonthaburi ","1/285 4th Floor, Moo 9, Bang Phud ","","contact"," ","","+66 869906797"," ","11120","","chupong@up.co.th","","none","base.th","",""
"__setup__.res_partner_1162","base.main_company","Geosistemas SRL ","true","","true","Bueno Aires","Venezuela 676","","contact","","","","","C1095AAN","","","","none","base.ar","",""
"__setup__.res_partner_3970","","EARL Dudley, Inc","true","","true","Birmingham","5352 First Avenue North","","contact","","","","+1 (205) 595-3796","35212","Europe/Zurich","","","none","base.us","base.state_us_1",""
