"id","company_id/id","fields_id/id","name","type","value_reference/id","res_id/id"
"sc.account_properties_re1_3","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_3"
"sc.account_properties_re1_5","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_5"
"sc.account_properties_re2_5","__setup__.company_inc","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","__setup__.account_account_1869","__setup__.res_partner_5"
"sc.account_properties_re1_23","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_23"
"sc.account_properties_re1_91","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_91"
"sc.account_properties_re1_405","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_405"
"sc.account_properties_re1_1020","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_1020"
"sc.account_properties_re2_1020","__setup__.company_inc","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","__setup__.account_account_1869","__setup__.res_partner_1020"
"sc.account_properties_re1_1099","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_1099"
"sc.account_properties_re1_1137","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_1137"
"sc.account_properties_re1_1162","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_1162"
"sc.account_properties_re1_3970","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_3970"
"sc.account_properties_re1_6888","base.main_company","account.field_res_partner_property_account_receivable_id","property_account_receivable_id","Many2One","l10n_ch.1_ch_coa_1100","__setup__.res_partner_6888"
"sc.account_properties_pa1_3","base.main_company","account.field_res_partner_property_account_payable_id","property_account_payable_id","Many2One","l10n_ch.1_ch_coa_2000","__setup__.res_partner_3"
"sc.account_properties_pa1_5","base.main_company","account.field_res_partner_property_account_payable_id","property_account_payable_id","Many2One","l10n_ch.1_ch_coa_2000","__setup__.res_partner_5"
"sc.account_properties_pa2_5","__setup__.company_inc","account.field_res_partner_property_account_payable_id","property_account_payable_id","Many2One","__setup__.account_account_1974","__setup__.res_partner_5"
"sc.account_properties_pa1_23","base.main_company","account.field_res_partner_property_account_payable_id","property_account_payable_id","Many2One","l10n_ch.1_ch_coa_2000","__setup__.res_partner_23"
"sc.account_properties_pa1_91","base.main_company","account.field_res_partner_property_account_payable_id","property_account_payable_id","Many2One","l10n_ch.1_ch_coa_2000","__setup__.res_partner_91"
"sc.account_properties_pa2_1020","__setup__.company_inc","account.field_res_partner_property_account_payable_id","property_account_payable_id","Many2One","__setup__.account_account_1974","__setup__.res_partner_1020"
