"id","invoice_id/id","company_id/id","partner_id/id","account_id/id","product_id/id","name","price_unit","quantity","discount","invoice_line_tax_ids/id"
"__setup__.account_invoice_line_90266","__setup__.account_invoice_35929","base.main_company","__setup__.res_partner_185","__setup__.account_account_1752","","Frais de transport","51.0","1.0","0.0",""
"__setup__.account_invoice_line_92969","__setup__.account_invoice_36787","base.main_company","__setup__.res_partner_181","__setup__.account_account_1754","","Frais de transport","317.9","1.0","0.0",""
"__setup__.account_invoice_line_93443","__setup__.account_invoice_36950","base.main_company","__setup__.res_partner_86","__setup__.account_account_1464","","Décompte de cotisation décembre 2017","97295.5","1.0","0.0",""
"__setup__.account_invoice_line_93635","__setup__.account_invoice_37005","base.main_company","__setup__.res_partner_138","__setup__.account_account_721","","Carte DEV UNO","221.72","1.0","0.0",""
"__setup__.account_invoice_line_93648","__setup__.account_invoice_37011","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants HARD","29.01","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93637","__setup__.account_invoice_37006","base.main_company","__setup__.res_partner_65","__setup__.account_account_1537","","Composants HARD","40.0","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93636","__setup__.account_invoice_37006","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants HARD","178.38","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93639","__setup__.account_invoice_37007","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants HARD","462.0","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93941","__setup__.account_invoice_37155","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants HARD","8.22","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93943","__setup__.account_invoice_37156","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants HARD","38.28","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93935","__setup__.account_invoice_37152","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants HARD","66.6","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93929","__setup__.account_invoice_37149","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants MECA","44.44","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93670","__setup__.account_invoice_37023","base.main_company","__setup__.res_partner_74","__setup__.account_account_1139","","IP-Plus Business Internet advanced novembre 2017","2816.65","1.0","0.0","l10n_ch.1_vat_80_invest_incl"
"__setup__.account_invoice_line_93974","__setup__.account_invoice_37165","base.main_company","__setup__.res_partner_65","__setup__.account_account_1537","","Matériel HARD","21.24","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93965","__setup__.account_invoice_37165","base.main_company","__setup__.res_partner_65","__setup__.account_account_1537","","Matériel BDT","187.22","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93966","__setup__.account_invoice_37165","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Matériel HARD","43.97","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93977","__setup__.account_invoice_37168","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Composants HARD","66.63","1.0","0.0","l10n_ch.1_vat_80_purchase"
"__setup__.account_invoice_line_93976","__setup__.account_invoice_37168","base.main_company","__setup__.res_partner_65","__setup__.account_account_1537","","Composants BDT","174.64","1.0","0.0","l10n_ch.1_vat_80_purchase"
