"id","pricelist_id/id","sequence","currency_id/id","compute_price","price_discount","price_surcharge","fixed_price","applied_on","min_quantity","date_start","date_end","product_id/id","price_category_id/id","base","base_pricelist_id/id"
"__setup__.product_pricelist_item_381","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","16990.0","16990.0","1_product","0","2016-01-01","","__setup__.product_template_1257","","list_price",""
"__setup__.product_pricelist_item_386","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","154.0","154.0","1_product","0","2016-01-01","","__setup__.product_template_700","","list_price",""
"__setup__.product_pricelist_item_2629","__setup__.product_pricelist_29","5","base.USD","fixed","-1.0","7161.0","7161.0","1_product","0","2017-01-01","","__setup__.product_template_1657","","list_price",""
"__setup__.product_pricelist_item_2630","__setup__.product_pricelist_29","5","base.USD","fixed","-1.0","10224.0","10224.0","1_product","0","2017-01-01","","__setup__.product_template_1658","","list_price",""
"__setup__.product_pricelist_item_2621","__setup__.product_pricelist_29","5","base.USD","fixed","-1.0","6290.0","6290.0","1_product","0","2017-01-01","","__setup__.product_template_1257","","list_price",""
"__setup__.product_pricelist_item_3773","__setup__.product_pricelist_39","114","base.EUR","fixed","-1.0","12990.0","12990.0","1_product","0","2017-03-31","","__setup__.product_template_1257","","list_price",""
"__setup__.product_pricelist_item_3778","__setup__.product_pricelist_39","121","base.EUR","fixed","-1.0","74.0","74.0","1_product","0","2017-03-31","","__setup__.product_template_700","","list_price",""
"__setup__.product_pricelist_item_3975","__setup__.product_pricelist_39","278","base.EUR","fixed","-1.0","9490.0","9490.0","1_product","0","2017-03-31","","__setup__.product_template_1580","","list_price",""
"__setup__.product_pricelist_item_4014","__setup__.product_pricelist_39","82","base.EUR","fixed","-1.0","15990.0","15990.0","1_product","0","2017-03-31","","__setup__.product_template_1657","","list_price",""
"__setup__.product_pricelist_item_4015","__setup__.product_pricelist_39","83","base.EUR","fixed","-1.0","24990.0","24990.0","1_product","0","2017-03-31","","__setup__.product_template_1658","","list_price",""
"__setup__.product_pricelist_item_4157","__setup__.product_pricelist_30","5","base.USD","fixed","-1.0","14990.0","14990.0","1_product","0","2017-03-31","","__setup__.product_template_1257","","list_price",""
