"id","company_id/id","fields_id/id","name","type","value_reference","res_id/id"
"sc.account_properties_ex1_190","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_190"
"sc.account_properties_ex2_190","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_190"
"sc.account_properties_ex2_521","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_521"
"sc.account_properties_ex2_700","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_700"
"sc.account_properties_ex1_800","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_800"
"sc.account_properties_ex2_800","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_800"
"sc.account_properties_ex2_1257","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_1257"
"sc.account_properties_ex1_1580","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_1580"
"sc.account_properties_ex2_1580","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_1580"
"sc.account_properties_ex1_1657","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_1657"
"sc.account_properties_ex2_1657","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_1657"
"sc.account_properties_ex1_1658","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_1658"
"sc.account_properties_ex2_1658","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_1658"
"sc.account_properties_in1_521","base.main_company","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_1627","__setup__.product_template_521"
"sc.account_properties_in2_521","__setup__.company_inc","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2241","__setup__.product_template_521"
"sc.account_properties_in1_700","base.main_company","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_1624","__setup__.product_template_700"
"sc.account_properties_in2_700","__setup__.company_inc","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2240","__setup__.product_template_700"
"sc.account_properties_in1_1257","base.main_company","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_1622","__setup__.product_template_1257"
"sc.account_properties_in2_1257","__setup__.company_inc","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2058","__setup__.product_template_1257"
"sc.account_properties_in1_1580","base.main_company","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2342","__setup__.product_template_1580"
"sc.account_properties_in2_1580","__setup__.company_inc","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2343","__setup__.product_template_1580"
"sc.account_properties_in1_1657","base.main_company","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2373","__setup__.product_template_1657"
"sc.account_properties_in2_1657","__setup__.company_inc","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2371","__setup__.product_template_1657"
"sc.account_properties_in1_1658","base.main_company","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2373","__setup__.product_template_1658"
"sc.account_properties_in2_1658","__setup__.company_inc","account.field_product_template_property_account_income_id","property_account_income_id","Many2One","__setup__.account_account_2371","__setup__.product_template_1658"
