"id","company_id/id","name","location_id/id"
"__setup__.mrp_routing_1","base.main_company","EP Assembly Process","stock.stock_location_stock"
"__setup__.mrp_routing_2","base.main_company","COLA Assembly","stock.stock_location_stock"
"__setup__.mrp_routing_3","base.main_company","Finalization / Quality process","stock.stock_location_stock"
"__setup__.mrp_routing_4","base.main_company","EP Ground Test","stock.stock_location_stock"
"__setup__.mrp_routing_5","base.main_company","Optic Flow Assembly & Test","stock.stock_location_stock"
"__setup__.mrp_routing_6","base.main_company","Remote Control Assembly","stock.stock_location_stock"
"__setup__.mrp_routing_7","base.main_company","EPES modem air assembly & Test","stock.stock_location_stock"
"__setup__.mrp_routing_8","base.main_company","Pitot assembly & test","stock.stock_location_stock"
"__setup__.mrp_routing_9","base.main_company","EPES Motor assembly & test","stock.stock_location_stock"
"__setup__.mrp_routing_10","base.main_company","RTK antenna & cover assembly","stock.stock_location_stock"
"__setup__.mrp_routing_11","base.main_company","Ground modem assembly & test","stock.stock_location_stock"
"__setup__.mrp_routing_12","base.main_company","Servo assembly & test","stock.stock_location_stock"
