"id","company_id/id","name","origin","partner_id/id","date_order","pricelist_id/id","incoterm/id","user_id/id","confirmation_date","client_order_ref"
"__setup__.sale_order_8680","base.main_company","Q201706206845","","__setup__.res_partner_91","2017-06-20","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-06-21","SFLY-031-2017"
"__setup__.sale_order_7222","__setup__.company_mte","Q20170110695","","__setup__.res_partner_3970","2017-01-10","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-11","0100064399"
"__setup__.sale_order_7195","base.main_company","Q201701065784","","__setup__.res_partner_405","2017-01-06","product.list0","stock.incoterm_EXW","__setup__.res_users_16","",""
"__setup__.sale_order_8535","__setup__.company_mte","Q201706021168","","__setup__.res_partner_5","2017-06-02","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-02","364"
"__setup__.sale_order_7231","__setup__.company_mte","Q20170111698","","__setup__.res_partner_3970","2017-01-11","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-11","0100064410"
"__setup__.sale_order_8219","__setup__.company_mte","Q201704281057","","__setup__.res_partner_5","2017-04-28","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-05-01","533"
"__setup__.sale_order_7580","__setup__.company_mte","Q20170222825","","__setup__.res_partner_3970","2017-02-22","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-22","0100064541"
"__setup__.sale_order_8542","__setup__.company_mte","Q201706051174","","__setup__.res_partner_5","2017-06-05","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-05","365"
"__setup__.sale_order_7599","__setup__.company_mte","Q20170227836","","__setup__.res_partner_3970","2017-02-27","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-27","0100064550"
"__setup__.sale_order_7641","__setup__.company_mte","Q20170301852","","__setup__.res_partner_3970","2017-03-01","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-03-02","0100064562"
"__setup__.sale_order_8572","__setup__.company_mte","Q201706081182","","__setup__.res_partner_1020","2017-06-08","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-09","0013877"
"__setup__.sale_order_8777","base.main_company","Q201706296911","","__setup__.res_partner_91","2017-06-29","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-06-29","SFLY-034-2017"
"__setup__.sale_order_7312","__setup__.company_mte","Q20170124726","","__setup__.res_partner_3970","2017-01-24","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-24","0100064433"
"__setup__.sale_order_8725","__setup__.company_mte","Q201706261245","","__setup__.res_partner_3970","2017-06-26","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-26","0100064949"
"__setup__.sale_order_7335","__setup__.company_mte","Q20170126735","","__setup__.res_partner_3970","2017-01-26","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-26","0100064454"
"__setup__.sale_order_8001","base.main_company","Q201704066367","","__setup__.res_partner_3","2017-04-06","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-04-06","DUB/006376"
"__setup__.sale_order_7597","base.main_company","Q201702276070","","__setup__.res_partner_405","2017-02-27","product.list0","stock.incoterm_EXW","__setup__.res_users_16","",""
"__setup__.sale_order_7159","base.main_company","Q201701035762","","__setup__.res_partner_1162","2017-01-03","product.list0","stock.incoterm_CPT","__setup__.res_users_16","2017-01-09","11-C"
"__setup__.sale_order_7772","base.main_company","Q201703156195","","__setup__.res_partner_91","2017-03-15","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-03-16","SFLY-008-2017"
"__setup__.sale_order_8710","base.main_company","Q201706236866","","__setup__.res_partner_91","2017-06-23","product.list0","","__setup__.res_users_16","2017-06-23","SFLY-032-2017"
"__setup__.sale_order_7274","__setup__.company_mte","Q20170118713","","__setup__.res_partner_3970","2017-01-18","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-18","0100064415"
"__setup__.sale_order_7296","__setup__.company_mte","Q20170120724","","__setup__.res_partner_3970","2017-01-20","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-24","0100064431"
"__setup__.sale_order_8808","base.main_company","Q201706306936","","__setup__.res_partner_1162","2017-06-30","product.list0","","__setup__.res_users_16","2017-06-30","#22-2017"
"__setup__.sale_order_7356","__setup__.company_mte","Q20170130742","","__setup__.res_partner_3970","2017-01-30","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-30","0400007784"
"__setup__.sale_order_8563","__setup__.company_mte","Q201706071180","","__setup__.res_partner_5","2017-06-07","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-08","366"
"__setup__.sale_order_7236","base.main_company","Q201701125814","","__setup__.res_partner_3","2017-01-12","product.list0","","__setup__.res_users_16","",""
"__setup__.sale_order_7358","__setup__.company_mte","Q20170130743","","__setup__.res_partner_3970","2017-01-30","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-30","0100064464"
"__setup__.sale_order_7501","base.main_company","Q201702146005","","__setup__.res_partner_91","2017-02-14","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-14","SFLY-003-2017"
"__setup__.sale_order_7539","base.main_company","Q201702206036","","__setup__.res_partner_1162","2017-02-20","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-02-20","#7-2017"
"__setup__.sale_order_7187","base.main_company","Q201701055781","","__setup__.res_partner_91","2017-01-05","product.list0","","__setup__.res_users_16","2017-01-05","SFLY-001-2017"
"__setup__.sale_order_7293","base.main_company","Q201701205855","","__setup__.res_partner_405","2017-01-20","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-20",""
"__setup__.sale_order_7713","base.main_company","Q201703096146","","__setup__.res_partner_1162","2017-03-08","product.list0","","__setup__.res_users_16","2017-03-08","#9-2017"
"__setup__.sale_order_8574","__setup__.company_mte","Q201706081184","","__setup__.res_partner_1020","2017-06-08","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-08","0013918"
"__setup__.sale_order_7186","__setup__.company_mte","Q20170105680","","__setup__.res_partner_3970","2017-01-05","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-05","0100064386"
"__setup__.sale_order_7715","base.main_company","Q201703096148","","__setup__.res_partner_1162","2017-03-08","product.list0","","__setup__.res_users_16","2017-03-08","#9-2017"
"__setup__.sale_order_7269","base.main_company","Q201701175839","","__setup__.res_partner_1162","2017-01-17","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-18","#1-2017"
"__setup__.sale_order_7801","base.main_company","Q201703166218","","__setup__.res_partner_91","2017-03-16","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-03-17","SFLY-010-2017"
"__setup__.sale_order_8502","base.main_company","Q201705316720","","__setup__.res_partner_91","2017-05-31","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-05-31","SFLY-026-2017"
"__setup__.sale_order_7322","base.main_company","Q201701255875","","__setup__.res_partner_1099","2017-01-25","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-30",""
"__setup__.sale_order_7182","base.main_company","Q201701055778","","__setup__.res_partner_3","2017-01-05","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-05","HUN/027730"
"__setup__.sale_order_7207","base.main_company","Q201701095794","","__setup__.res_partner_3","2017-01-09","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-09","HUN/027744"
"__setup__.sale_order_7681","base.main_company","Q201703076126","","__setup__.res_partner_405","2017-03-07","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-03-07",""
"__setup__.sale_order_7197","base.main_company","Q201701065785","","__setup__.res_partner_3","2017-01-06","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-09","HUN/026461"
"__setup__.sale_order_7370","__setup__.company_mte","Q20170131750","","__setup__.res_partner_3970","2017-01-31","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-31","0100064473"
"__setup__.sale_order_7508","base.main_company","Q201702156013","","__setup__.res_partner_91","2017-02-15","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-15","SFLY-003-2017"
"__setup__.sale_order_7198","base.main_company","Q201701065786","","__setup__.res_partner_3","2017-01-06","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-09","HUN/027708"
"__setup__.sale_order_7309","base.main_company","Q201701235868","","__setup__.res_partner_1162","2017-01-23","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-26","Order Number 02/2017"
"__setup__.sale_order_8516","base.main_company","Q201706016729","","__setup__.res_partner_91","2017-06-01","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-06-01","SFLY-027-2017"
"__setup__.sale_order_7219","base.main_company","Q201701105801","","__setup__.res_partner_3","2017-01-10","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-10","HUN/027749"
"__setup__.sale_order_7298","base.main_company","Q201701235857","","__setup__.res_partner_3","2017-01-23","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-23","DUB/006159"
"__setup__.sale_order_7225","base.main_company","Q201701115806","","__setup__.res_partner_3","2017-01-11","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-11","HUN/027760"
"__setup__.sale_order_8621","__setup__.company_mte","Q201706131204","","__setup__.res_partner_5","2017-06-13","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-13","368"
"__setup__.sale_order_7306","base.main_company","Q201701235866","","__setup__.res_partner_3","2017-01-23","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-25","HUN/027840"
"__setup__.sale_order_7540","base.main_company","Q201702206037","","__setup__.res_partner_1162","2017-02-20","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-02-20","#7-2017"
"__setup__.sale_order_7223","base.main_company","Q201701115804","","__setup__.res_partner_3","2017-01-11","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-11","HUN/026478"
"__setup__.sale_order_7820","base.main_company","Q201703176235","","__setup__.res_partner_91","2017-03-17","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-03-17","SFLY-011-2017"
"__setup__.sale_order_7285","__setup__.company_mte","Q20170119718","","__setup__.res_partner_1020","2017-01-19","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-19","0013435"
"__setup__.sale_order_7324","base.main_company","Q201701255877","","__setup__.res_partner_3","2017-01-25","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-25","HUN/027858 "
"__setup__.sale_order_7237","base.main_company","Q201701125815","","__setup__.res_partner_3","2017-01-12","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-12","DUB/006128"
"__setup__.sale_order_8776","base.main_company","Q201706296910","","__setup__.res_partner_91","2017-06-29","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-06-29","SFLY-033-2017"
"__setup__.sale_order_7261","base.main_company","Q201701175831","","__setup__.res_partner_3","2017-01-17","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-17","HUN/027791"
"__setup__.sale_order_8603","__setup__.company_mte","Q201706121199","","__setup__.res_partner_1020","2017-06-12","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-06-13","0013917"
"__setup__.sale_order_7302","base.main_company","Q201701235862","","__setup__.res_partner_3","2017-01-23","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-23","DUB/006153"
"__setup__.sale_order_7367","base.main_company","Q201701315912","","__setup__.res_partner_3","2017-01-31","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-31","HUN/026642"
"__setup__.sale_order_7240","__setup__.company_mte","Q20170112700","","__setup__.res_partner_1020","2017-01-12","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-12","0013404"
"__setup__.sale_order_7277","__setup__.company_mte","Q20170118715","","__setup__.res_partner_1020","2017-01-18","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-01-19","0013432"
"__setup__.sale_order_7517","__setup__.company_mte","Q20170215801","","__setup__.res_partner_1020","2017-02-15","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-16","0013517"
"__setup__.sale_order_7340","__setup__.company_mte","Q20170126737","","__setup__.res_partner_5","2017-01-26","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-27","317"
"__setup__.sale_order_7183","base.main_company","Q201701055779","","__setup__.res_partner_1099","2017-01-05","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-09","HK-EB-201701-5"
"__setup__.sale_order_7264","base.main_company","Q201701175834","","__setup__.res_partner_1099","2017-01-17","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-01-17",""
"__setup__.sale_order_7482","base.main_company","Q201702135990","","__setup__.res_partner_1099","2017-02-13","product.list0","stock.incoterm_FCA","__setup__.res_users_16","2017-02-13",""
"__setup__.sale_order_7546","__setup__.company_mte","Q20170220809","","__setup__.res_partner_5","2017-02-20","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-21","322"
"__setup__.sale_order_7424","base.main_company","Q201702075956","","__setup__.res_partner_3","2017-02-07","product.list0","stock.incoterm_DAP","__setup__.res_users_16","2017-02-08","HUN/027956"
"__setup__.sale_order_7547","__setup__.company_mte","Q20170220810","","__setup__.res_partner_5","2017-02-20","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-21","321"
"__setup__.sale_order_7525","__setup__.company_mte","Q20170216802","","__setup__.res_partner_3970","2017-02-16","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-20","0100064518"
"__setup__.sale_order_7582","__setup__.company_mte","Q20170222827","","__setup__.res_partner_1020","2017-02-22","product.list0","stock.incoterm_EXW","__setup__.res_users_16","2017-02-22","0013534"
