"id","name","product_id/id","ref","warranty_end_date"
"__setup__.stock_production_lot_4238","EB-02-306","__setup__.product_template_1257","EB-02-306",""
"__setup__.stock_production_lot_3565","EB-02-711","__setup__.product_template_1257","EB-02-711",""
"__setup__.stock_production_lot_103768","EB-03-25865","__setup__.product_template_1257","EB-03-01125",""
"__setup__.stock_production_lot_103884","EB-03-25361","__setup__.product_template_1257","EB-03-01241",""
"__setup__.stock_production_lot_104462","EB-03-22552","__setup__.product_template_1257","EB-03-01819",""
"__setup__.stock_production_lot_105002","EB-03-11282","__setup__.product_template_1257","EB-03-02359","2017-08-11"
"__setup__.stock_production_lot_105006","EB-03-09982","__setup__.product_template_1257","EB-03-02363",""
"__setup__.stock_production_lot_105046","EB-03-23846","__setup__.product_template_1257","EB-03-02403",""
"__setup__.stock_production_lot_215194","EB-03-23989","__setup__.product_template_1257","EB-03-02420",""
"__setup__.stock_production_lot_214982","EB-03-07900","__setup__.product_template_1257","EB-03-02473",""
"__setup__.stock_production_lot_214980","EB-03-04621","__setup__.product_template_1257","EB-03-02479",""
"__setup__.stock_production_lot_105123","EB-03-14522","__setup__.product_template_1257","EB-03-02480",""
"__setup__.stock_production_lot_105136","EB-03-14198","__setup__.product_template_1257","EB-03-02493",""
"__setup__.stock_production_lot_105144","EB-03-21859","__setup__.product_template_1257","EB-03-02501",""
"__setup__.stock_production_lot_105145","EB-03-27645","__setup__.product_template_1257","EB-03-02502",""
"__setup__.stock_production_lot_215165","EB-03-04013","__setup__.product_template_1257","EB-03-02506",""
"__setup__.stock_production_lot_105164","EB-03-10089","__setup__.product_template_1257","EB-03-02521",""
"__setup__.stock_production_lot_105166","EB-03-20764","__setup__.product_template_1257","EB-03-02523","2017-05-20"
"__setup__.stock_production_lot_105175","EB-23-17415","__setup__.product_template_1257","EB-03-02532",""
"__setup__.stock_production_lot_105176","EB-03-11676","__setup__.product_template_1257","EB-03-02533","2017-08-11"
"__setup__.stock_production_lot_215680","EB-03-27262","__setup__.product_template_1257","EB-03-02535",""
"__setup__.stock_production_lot_105179","EB-03-29906","__setup__.product_template_1257","EB-03-02536",""
"__setup__.stock_production_lot_105182","EB-03-25878","__setup__.product_template_1257","EB-03-02539","2017-08-11"
"__setup__.stock_production_lot_105183","EB-03-26241","__setup__.product_template_1257","EB-03-02540","2017-08-11"
"__setup__.stock_production_lot_105184","EB-03-04156","__setup__.product_template_1257","EB-03-02541",""
"__setup__.stock_production_lot_215328","EB-03-04257","__setup__.product_template_1257","EB-03-02548",""
"__setup__.stock_production_lot_105195","EB-03-32390","__setup__.product_template_1257","EB-03-02552","2017-08-11"
"__setup__.stock_production_lot_105199","EB-03-12739","__setup__.product_template_1257","EB-03-02556",""
"__setup__.stock_production_lot_215339","EB-03-10362","__setup__.product_template_1257","EB-03-02558",""
"__setup__.stock_production_lot_105203","EB-03-06937","__setup__.product_template_1257","EB-03-02560",""
"__setup__.stock_production_lot_105237","EB-03-14215","__setup__.product_template_1257","EB-03-02594",""
"__setup__.stock_production_lot_105238","EB-03-23139","__setup__.product_template_1257","EB-03-02595",""
"__setup__.stock_production_lot_105245","EB-03-32486","__setup__.product_template_1257","EB-03-02602",""
"__setup__.stock_production_lot_105246","EB-03-15169","__setup__.product_template_1257","EB-03-02603","2017-08-11"
"__setup__.stock_production_lot_105248","EB-03-07467","__setup__.product_template_1257","EB-03-02605",""
"__setup__.stock_production_lot_105253","EB-03-29371","__setup__.product_template_1257","EB-03-02610",""
"__setup__.stock_production_lot_105254","EB-03-29819","__setup__.product_template_1257","EB-03-02611","2017-06-15"
"__setup__.stock_production_lot_105256","EB-03-18185","__setup__.product_template_1257","EB-03-02613","2017-08-11"
"__setup__.stock_production_lot_105258","EB-03-06140","__setup__.product_template_1257","EB-03-02615",""
"__setup__.stock_production_lot_105261","EB-03-08609","__setup__.product_template_1257","EB-03-02618",""
"__setup__.stock_production_lot_105264","EB-03-07822","__setup__.product_template_1257","EB-03-02621",""
"__setup__.stock_production_lot_105272","EB-03-28077","__setup__.product_template_1257","EB-03-02629","2017-04-26"
"__setup__.stock_production_lot_215161","EB-03-32740","__setup__.product_template_1257","EB-03-02630",""
"__setup__.stock_production_lot_215462","EB-03-06121","__setup__.product_template_1257","EB-03-02637",""
"__setup__.stock_production_lot_215604","EB-03-21970","__setup__.product_template_1257"," EB-03-02672 ",""
"__setup__.stock_production_lot_105316","EB-03-28022","__setup__.product_template_1257","EB-03-02673",""
"__setup__.stock_production_lot_105317","EB-03-07800","__setup__.product_template_1257","EB-03-02674",""
"__setup__.stock_production_lot_215678","EB-03-15952","__setup__.product_template_1257","EB-03-02677",""
"__setup__.stock_production_lot_105325","EB-03-34221","__setup__.product_template_1257","EB-03-02682",""
"__setup__.stock_production_lot_105329","EB-03-02631","__setup__.product_template_1257","EB-03-02686",""
"__setup__.stock_production_lot_105332","EB-03-05516","__setup__.product_template_1257","EB-03-02689",""
"__setup__.stock_production_lot_105334","EB-03-20064","__setup__.product_template_1257","EB-03-02691",""
"__setup__.stock_production_lot_105335","EB-03-20620","__setup__.product_template_1257","EB-03-02692",""
"__setup__.stock_production_lot_105336","EB-03-19382","__setup__.product_template_1257","EB-03-02693",""
"__setup__.stock_production_lot_105337","EB-03-08567","__setup__.product_template_1257","EB-03-02694",""
"__setup__.stock_production_lot_105338","EB-03-03679","__setup__.product_template_1257","EB-03-02695",""
"__setup__.stock_production_lot_105339","EB-03-11533","__setup__.product_template_1257","EB-03-02696",""
"__setup__.stock_production_lot_105342","EB-03-05618","__setup__.product_template_1257","EB-03-02699",""
"__setup__.stock_production_lot_105345","EB-03-18556","__setup__.product_template_1257","EB-03-02702",""
"__setup__.stock_production_lot_105346","EB-03-10288","__setup__.product_template_1257","EB-03-02703",""
"__setup__.stock_production_lot_105348","EB-03-32648","__setup__.product_template_1257","EB-03-02705",""
"__setup__.stock_production_lot_105350","EB-03-10836","__setup__.product_template_1257","EB-03-02707",""
"__setup__.stock_production_lot_105353","EB-03-11195","__setup__.product_template_1257","EB-03-02710",""
"__setup__.stock_production_lot_105355","EB-03-19120","__setup__.product_template_1257","EB-03-02712",""
"__setup__.stock_production_lot_105359","EB-03-29637","__setup__.product_template_1257","EB-03-02716",""
"__setup__.stock_production_lot_105362","EB-03-18592","__setup__.product_template_1257","EB-03-02719","2017-05-06"
"__setup__.stock_production_lot_105365","EB-03-17365","__setup__.product_template_1257","EB-03-02722","2017-08-11"
"__setup__.stock_production_lot_105367","EB-03-32749","__setup__.product_template_1257","EB-03-02724","2017-08-24"
"__setup__.stock_production_lot_105386","EB-03-11347","__setup__.product_template_1257","EB-03-02743",""
"__setup__.stock_production_lot_105395","EB-03-09857","__setup__.product_template_1257","EB-03-02752",""
"__setup__.stock_production_lot_216775","EB-03-25463","__setup__.product_template_1257","EB-03-02754",""
"__setup__.stock_production_lot_105400","EB-03-19806","__setup__.product_template_1257","EB-03-02757","2017-07-26"
"__setup__.stock_production_lot_105402","EB-03-28897","__setup__.product_template_1257","EB-03-02759",""
"__setup__.stock_production_lot_105408","EB-03-01364","__setup__.product_template_1257","EB-03-02765","2017-07-19"
"__setup__.stock_production_lot_105409","EB-03-34049","__setup__.product_template_1257","EB-03-02766",""
"__setup__.stock_production_lot_105411","EB-03-14395","__setup__.product_template_1257","EB-03-02768",""
"__setup__.stock_production_lot_215748","EB-03-19510","__setup__.product_template_1257","EB-03-02775",""
"__setup__.stock_production_lot_105421","EB-03-08786","__setup__.product_template_1257","EB-03-02778",""
"__setup__.stock_production_lot_105430","EB-03-09691","__setup__.product_template_1257","EB-03-02787",""
"__setup__.stock_production_lot_105431","EB-03-11055","__setup__.product_template_1257","EB-03-02788",""
"__setup__.stock_production_lot_105432","EB-03-19462","__setup__.product_template_1257","EB-03-02789","2017-08-04"
"__setup__.stock_production_lot_105437","EB-03-16937","__setup__.product_template_1257","EB-03-02794",""
"__setup__.stock_production_lot_105442","EB-03-24024","__setup__.product_template_1257","EB-03-02799",""
"__setup__.stock_production_lot_105482","EB-03-12052","__setup__.product_template_1257","EB-03-02839",""
"__setup__.stock_production_lot_215750","EB-03-24324","__setup__.product_template_1257","EB-03-02874",""
"__setup__.stock_production_lot_105523","EB-03-01021","__setup__.product_template_1257","EB-03-02880",""
"__setup__.stock_production_lot_105524","EB-03-19983","__setup__.product_template_1257","EB-03-02881",""
"__setup__.stock_production_lot_105528","EB-03-30007","__setup__.product_template_1257","EB-03-02885",""
"__setup__.stock_production_lot_105529","EB-03-26135","__setup__.product_template_1257","EB-03-02886",""
"__setup__.stock_production_lot_105530","EB-03-11310","__setup__.product_template_1257","EB-03-02887",""
"__setup__.stock_production_lot_105534","EB-03-14537","__setup__.product_template_1257","EB-03-02891",""
"__setup__.stock_production_lot_105536","EB-03-24213","__setup__.product_template_1257","EB-03-02893",""
"__setup__.stock_production_lot_105549","EB-03-17946","__setup__.product_template_1257","EB-03-02906",""
"__setup__.stock_production_lot_105557","EB-03-33937","__setup__.product_template_1257","EB-03-02914",""
"__setup__.stock_production_lot_105559","EB-03-22913","__setup__.product_template_1257","EB-03-02916",""
"__setup__.stock_production_lot_215794","EB-03-33314","__setup__.product_template_1257","EB-03-02919",""
"__setup__.stock_production_lot_105607","EB-03-15452","__setup__.product_template_1257","EB-03-02964",""
"__setup__.stock_production_lot_105612","EB-03-10100","__setup__.product_template_1257","EB-03-02969",""
"__setup__.stock_production_lot_105618","EB-03-09085","__setup__.product_template_1257","EB-03-02975",""
"__setup__.stock_production_lot_105621","EB-03-12903","__setup__.product_template_1257","EB-03-02978","2017-08-26"
"__setup__.stock_production_lot_105623","EB-03-22010","__setup__.product_template_1257","EB-03-02980",""
"__setup__.stock_production_lot_105627","EB-03-09210","__setup__.product_template_1257","EB-03-02984",""
"__setup__.stock_production_lot_105629","EB-03-19501","__setup__.product_template_1257","EB-03-02986",""
"__setup__.stock_production_lot_105630","EB-03-25924","__setup__.product_template_1257","EB-03-02987",""
"__setup__.stock_production_lot_105631","EB-03-20770","__setup__.product_template_1257","EB-03-02988",""
"__setup__.stock_production_lot_105640","EB-03-10294","__setup__.product_template_1257","EB-03-02997",""
"__setup__.stock_production_lot_105643","EB-03-02711","__setup__.product_template_1257","EB-03-03000",""
"__setup__.stock_production_lot_105685","EB-03-08173","__setup__.product_template_1257","EB-03-03042",""
"__setup__.stock_production_lot_105688","EB-03-30395","__setup__.product_template_1257","EB-03-03045",""
"__setup__.stock_production_lot_105689","EB-03-09717","__setup__.product_template_1257","EB-03-03046",""
"__setup__.stock_production_lot_105690","EB-03-08533","__setup__.product_template_1257","EB-03-03047",""
"__setup__.stock_production_lot_105697","EB-03-14078","__setup__.product_template_1257","EB-03-03054",""
"__setup__.stock_production_lot_105701","EB-03-26689","__setup__.product_template_1257","EB-03-03058",""
"__setup__.stock_production_lot_105705","EB-03-35176","__setup__.product_template_1257","EB-03-03062","2017-10-30"
"__setup__.stock_production_lot_105706","EB-03-22921","__setup__.product_template_1257","EB-03-03063",""
"__setup__.stock_production_lot_105708","EB-03-16010","__setup__.product_template_1257","EB-03-03065","2017-10-30"
"__setup__.stock_production_lot_105715","EB-03-03282","__setup__.product_template_1257","EB-03-03072",""
"__setup__.stock_production_lot_105717","EB-03-16846","__setup__.product_template_1257","EB-03-03074","2017-10-30"
"__setup__.stock_production_lot_105718","EB-03-07297","__setup__.product_template_1257","EB-03-03075",""
"__setup__.stock_production_lot_105719","EB-03-23570","__setup__.product_template_1257","EB-03-03076",""
"__setup__.stock_production_lot_105721","EB-03-10295","__setup__.product_template_1257","EB-03-03078",""
"__setup__.stock_production_lot_105722","EB-03-29553","__setup__.product_template_1257","EB-03-03079",""
"__setup__.stock_production_lot_105724","EB-03-33027","__setup__.product_template_1257","EB-03-03081",""
"__setup__.stock_production_lot_105727","EB-03-18347","__setup__.product_template_1257","EB-03-03084",""
"__setup__.stock_production_lot_105731","EB-03-13992","__setup__.product_template_1257","EB-03-03088",""
"__setup__.stock_production_lot_105734","EB-03-04452","__setup__.product_template_1257","EB-03-03091",""
"__setup__.stock_production_lot_105738","EB-03-12384","__setup__.product_template_1257","EB-03-03095",""
"__setup__.stock_production_lot_105739","EB-03-28625","__setup__.product_template_1257","EB-03-03096",""
"__setup__.stock_production_lot_105742","EB-03-20685","__setup__.product_template_1257","EB-03-03099",""
"__setup__.stock_production_lot_105747","EB-03-23481","__setup__.product_template_1257","EB-03-03104",""
"__setup__.stock_production_lot_105748","EB-03-26214","__setup__.product_template_1257","EB-03-03105",""
"__setup__.stock_production_lot_105750","EB-03-30465","__setup__.product_template_1257","EB-03-03107",""
"__setup__.stock_production_lot_105751","EB-03-33001","__setup__.product_template_1257","EB-03-03108",""
"__setup__.stock_production_lot_105755","EB-03-27495","__setup__.product_template_1257","EB-03-03112",""
"__setup__.stock_production_lot_217133","EB-03-27032","__setup__.product_template_1257","EB-03-03114",""
"__setup__.stock_production_lot_105761","EB-03-29753","__setup__.product_template_1257","EB-03-03118",""
"__setup__.stock_production_lot_216721","EB-03-08846","__setup__.product_template_1257","EB-03-03121",""
"__setup__.stock_production_lot_217172","EB-03-10292","__setup__.product_template_1257","EB-03-03123",""
"__setup__.stock_production_lot_105769","EB-03-12398","__setup__.product_template_1257","EB-03-03126",""
"__setup__.stock_production_lot_105772","EB-03-27310","__setup__.product_template_1257","EB-03-03129",""
"__setup__.stock_production_lot_105781","EB-03-22213","__setup__.product_template_1257","EB-03-03138",""
"__setup__.stock_production_lot_216674","EB-03-13147","__setup__.product_template_1257","EB-03-03139",""
"__setup__.stock_production_lot_105787","EB-03-03850","__setup__.product_template_1257","EB-03-03144",""
"__setup__.stock_production_lot_105791","EB-03-18452","__setup__.product_template_1257","EB-03-03148",""
"__setup__.stock_production_lot_105793","EB-03-20831","__setup__.product_template_1257","EB-03-03150",""
"__setup__.stock_production_lot_105796","EB-03-11119","__setup__.product_template_1257","EB-03-03153",""
"__setup__.stock_production_lot_105800","EB-03-12250","__setup__.product_template_1257","EB-03-03157","2017-12-20"
"__setup__.stock_production_lot_105802","EB-03-24016","__setup__.product_template_1257","EB-03-03159",""
"__setup__.stock_production_lot_105805","EB-03-10723","__setup__.product_template_1257","EB-03-03162",""
"__setup__.stock_production_lot_105806","EB-03-27746","__setup__.product_template_1257","EB-03-03163","2017-10-30"
"__setup__.stock_production_lot_105807","EB-03-19380","__setup__.product_template_1257","EB-03-03164",""
"__setup__.stock_production_lot_105810","EB-03-23484","__setup__.product_template_1257","EB-03-03167",""
"__setup__.stock_production_lot_105811","EB-03-02672","__setup__.product_template_1257","EB-03-03168",""
"__setup__.stock_production_lot_105819","EB-03-29671","__setup__.product_template_1257","EB-03-03176",""
"__setup__.stock_production_lot_105824","EB-03-09592","__setup__.product_template_1257","EB-03-03181","2017-10-30"
"__setup__.stock_production_lot_105826","EB-03-29658","__setup__.product_template_1257","EB-03-03183",""
"__setup__.stock_production_lot_105828","EB-03-21199","__setup__.product_template_1257","EB-03-03185",""
"__setup__.stock_production_lot_105831","EB-03-07700","__setup__.product_template_1257","EB-03-03188",""
