"id","company_id/id","name","location_id/id","usage","is_department_location","scrap_location","partner_id/id"
"__setup__.stock_location_11","base.main_company","Output","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_12","base.main_company","Stock","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_18","base.main_company","Atelier","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_22","base.main_company","Admin","stock.stock_location_stock","internal","true","false","base.main_partner"
"__setup__.stock_location_23","base.main_company","INDU - Indus","stock.stock_location_stock","internal","true","false","base.main_partner"
"__setup__.stock_location_35","base.main_company","senseFly USA","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_42","__setup__.company_mte","Stock","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_45","__setup__.company_mte","Output","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_47","__setup__.company_mte","Indus","stock.stock_location_stock","internal","false","false","base.main_partner"
"__setup__.stock_location_49","__setup__.company_mte","Atelier","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_50","__setup__.company_mte","Admin","stock.stock_location_stock","internal","false","false","base.main_partner"
"__setup__.stock_location_51","__setup__.company_mte","M&S","stock.stock_location_stock","internal","true","false","base.main_partner"
"__setup__.stock_location_52","__setup__.company_mte","R&D","stock.stock_location_stock","internal","true","false","__setup__.company_mte"
"__setup__.stock_location_60","base.main_company","MKT - Marketing","stock.stock_location_stock","internal","true","false","base.main_partner"
"__setup__.stock_location_61","base.main_company","SALE - Sales","stock.stock_location_stock","internal","true","false","base.main_partner"
"__setup__.stock_location_63","base.main_company","AUTO - Automatique","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_64","base.main_company","CTO - CTO / Project Managmenent","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_65","base.main_company","HARD - Hardware","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_66","base.main_company","MECA - Mecanique","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_67","base.main_company","SOFT - Software","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_68","base.main_company","SQA - Validation qualité","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_69","base.main_company","BDT - Banc de test","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_70","base.main_company","CERT - Certification","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_71","base.main_company","CSO","__setup__.stock.location_61","internal","true","false",""
"__setup__.stock_location_74","base.main_company","CSS Team","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_75","base.main_company","SURV - Surveying","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_76","base.main_company","AGRI - Agriculture Vertical","stock.stock_location_stock","internal","true","false",""
"__setup__.stock_location_78","base.main_company","REGP - Regulatory","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_79","base.main_company","Rental - To repair","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_80","base.main_company","Rental - Ready","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_81","base.main_company","SAV Repair","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_82","__setup__.company_mte","Rental - To repair","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_83","__setup__.company_mte","Rental - Ready","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_84","__setup__.company_mte","Rental - Customers","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_85","base.main_company","Rental - Customers","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_86","__setup__.company_mte","MRO – Ready","stock.stock_location_stock","internal","false","false",""
"__setup__.stock_location_87","__setup__.company_mte","MRO – To repair","stock.stock_location_stock","internal","false","false",""
