"id","asset_id/id","name","sequence","move_check","depreciation_date","amount","remaining_value","depreciated_value"
"__setup__.account_asset_depreciation_line_60959","__setup__.account_asset_asset_947","947/8","8","false","2017-10-01","29.72","1193.71","203.16000000000008"
"__setup__.account_asset_depreciation_line_60960","__setup__.account_asset_asset_947","947/9","9","false","2017-11-01","29.72","1163.99","232.8800000000001"
"__setup__.account_asset_depreciation_line_60961","__setup__.account_asset_asset_947","947/10","10","false","2017-12-01","29.72","1134.27","262.60000000000014"
"__setup__.account_asset_depreciation_line_60962","__setup__.account_asset_asset_947","947/11","11","false","2018-01-01","29.72","1104.55","292.32000000000016"
"__setup__.account_asset_depreciation_line_60963","__setup__.account_asset_asset_947","947/12","12","false","2018-02-01","29.72","1074.83","322.0400000000002"
"__setup__.account_asset_depreciation_line_60964","__setup__.account_asset_asset_947","947/13","13","false","2018-03-01","29.72","1045.11","351.7600000000002"
"__setup__.account_asset_depreciation_line_60965","__setup__.account_asset_asset_947","947/14","14","false","2018-04-01","29.72","1015.39","381.48000000000025"
"__setup__.account_asset_depreciation_line_60966","__setup__.account_asset_asset_947","947/15","15","false","2018-05-01","29.72","985.67","411.2000000000003"
"__setup__.account_asset_depreciation_line_60967","__setup__.account_asset_asset_947","947/16","16","false","2018-06-01","29.72","955.95","440.9200000000003"
"__setup__.account_asset_depreciation_line_60968","__setup__.account_asset_asset_947","947/17","17","false","2018-07-01","29.72","926.23","470.6400000000003"
"__setup__.account_asset_depreciation_line_60969","__setup__.account_asset_asset_947","947/18","18","false","2018-08-01","29.72","896.51","500.36000000000035"
"__setup__.account_asset_depreciation_line_60970","__setup__.account_asset_asset_947","947/19","19","false","2018-09-01","29.72","866.79","530.0800000000004"
"__setup__.account_asset_depreciation_line_60971","__setup__.account_asset_asset_947","947/20","20","false","2018-10-01","29.72","837.07","559.8000000000004"
"__setup__.account_asset_depreciation_line_60972","__setup__.account_asset_asset_947","947/21","21","false","2018-11-01","29.72","807.35","589.5200000000004"
"__setup__.account_asset_depreciation_line_60973","__setup__.account_asset_asset_947","947/22","22","false","2018-12-01","29.72","777.63","619.2400000000005"
"__setup__.account_asset_depreciation_line_60974","__setup__.account_asset_asset_947","947/23","23","false","2019-01-01","29.72","747.91","648.9600000000005"
"__setup__.account_asset_depreciation_line_43475","__setup__.account_asset_asset_778","778/14","14","true","2017-01-11","48.82","1705.84","588.5100000000004"
"__setup__.account_asset_depreciation_line_60975","__setup__.account_asset_asset_947","947/24","24","false","2019-02-01","29.72","718.19","678.6800000000005"
"__setup__.account_asset_depreciation_line_60976","__setup__.account_asset_asset_947","947/25","25","false","2019-03-01","29.72","688.47","708.4000000000005"
"__setup__.account_asset_depreciation_line_60977","__setup__.account_asset_asset_947","947/26","26","false","2019-04-01","29.72","658.75","738.1200000000006"
"__setup__.account_asset_depreciation_line_109763","__setup__.account_asset_asset_965","965/2","2","false","2017-10-01","19.17","1124.48","6.349999999999909"
"__setup__.account_asset_depreciation_line_111170","__setup__.account_asset_asset_993","993/1","1","false","2017-10-01","32.67","6256.65","0.0"
"__setup__.account_asset_depreciation_line_61008","__setup__.account_asset_asset_948","948/8","8","false","2017-10-06","30.21","1213.7","206.09000000000015"
