id,name,color
"__setup__.account_account_tag_p_1","Sales","3"
"__setup__.account_account_tag_p_2","Small equipments","3"
"__setup__.account_account_tag_p_3","Other outsourcing costs","3"
"__setup__.account_account_tag_p_4","Salaires/Bonus/Comissions","3"
"__setup__.account_account_tag_p_5","Social Charges","3"
"__setup__.account_account_tag_p_6","Training","3"
"__setup__.account_account_tag_p_7","Recruiting","3"
"__setup__.account_account_tag_p_8","Temporaries","3"
"__setup__.account_account_tag_p_9","Rent & facilities","3"
"__setup__.account_account_tag_p_10","Company cars","3"
"__setup__.account_account_tag_p_11","Repairs & Maintenance","3"
"__setup__.account_account_tag_p_12","Telecommunications and postage","3"
"__setup__.account_account_tag_p_13","Office sundries","3"
"__setup__.account_account_tag_p_14","Travel & Lodging","3"
"__setup__.account_account_tag_p_15","Other operational marketing costs","3"
"__setup__.account_account_tag_p_16","Variable marketing costs (pricing strategy)","3"
"__setup__.account_account_tag_p_17","Bad debts","3"
"__setup__.account_account_tag_p_18","Insurance","3"
"__setup__.account_account_tag_p_19","Transport","3"
"__setup__.account_account_tag_p_20","Finance & Audit fees","3"
"__setup__.account_account_tag_p_21","Legal","3"
"__setup__.account_account_tag_p_22","Bank fees","3"
"__setup__.account_account_tag_p_23","Other interests (bank overdue...)","3"
"__setup__.account_account_tag_p_24","Depreciation","3"
"__setup__.account_account_tag_p_25","Taxes","3"
"__setup__.account_account_tag_p_26","COGS","3"
"__setup__.account_account_tag_p_27","Other (prof subsciption, documentation, etc)","3"
