"id","name","company_id/id","code"
"__setup__.account_analytic_account_219","Agritechnica","base.main_company","E0014"
"__setup__.account_analytic_account_285","albris","__setup__.company_mte","P0004"
"__setup__.account_analytic_account_202","albris","base.main_company","P0004"
"__setup__.account_analytic_account_211","Argi Show Brazil Dealer","base.main_company","E0006"
"__setup__.account_analytic_account_251","ASPRS","__setup__.company_mte","E0018"
"__setup__.account_analytic_account_230","BNSF","__setup__.company_mte","S0001"
"__setup__.account_analytic_account_270","CeBIT","base.main_company","E0026"
"__setup__.account_analytic_account_296","Commercial UAV Expo Europe","base.main_company","E0028"
"__setup__.account_analytic_account_218","Commercial UAV Show London","base.main_company","E0013"
"__setup__.account_analytic_account_224","Commodity Classic","__setup__.company_mte","E0019"
"__setup__.account_analytic_account_256","Congreso Geología","base.main_company","E0025"
"__setup__.account_analytic_account_207","Crop Protection Day","base.main_company","E0002"
"__setup__.account_analytic_account_206","DLG Technikertagung Conference","base.main_company","E0001"
"__setup__.account_analytic_account_298","Drone Show Latam","base.main_company","E0030"
"__setup__.account_analytic_account_282","eBee","__setup__.company_mte","P0001"
"__setup__.account_analytic_account_199","eBee","base.main_company","P0001"
"__setup__.account_analytic_account_286","eBee 2","__setup__.company_mte","P0005"
"__setup__.account_analytic_account_203","eBee 2","base.main_company","P0005"
"__setup__.account_analytic_account_274","eBee Plus","base.main_company","P0012"
"__setup__.account_analytic_account_290","eBee Plus","__setup__.company_mte","P0012"
"__setup__.account_analytic_account_289","eBee SQ","__setup__.company_mte","P0011"
"__setup__.account_analytic_account_273","eBee SQ","base.main_company","P0011"
"__setup__.account_analytic_account_205","eMotion","base.main_company","P0007"
"__setup__.account_analytic_account_302","ESRI Tech Days","__setup__.company_mte","E0034"
"__setup__.account_analytic_account_228","Esri User Conference","__setup__.company_mte","E0023"
"__setup__.account_analytic_account_208","Expo Agro Argentina","base.main_company","E0003"
"__setup__.account_analytic_account_220","Expo Minería Guadalajara","base.main_company","E0015"
"__setup__.account_analytic_account_215","Exponor - Mining Chile","base.main_company","E0010"
"__setup__.account_analytic_account_295","Fig Working Week","base.main_company","E0027"
"__setup__.account_analytic_account_232","Firewall upgrade","base.main_company","I0004"
"__setup__.account_analytic_account_288","Fixed-wing","__setup__.company_mte","P0008"
"__setup__.account_analytic_account_231","Fixed-wing","base.main_company","P0008"
"__setup__.account_analytic_account_294","GeoAfrica","base.main_company","E0016"
"__setup__.account_analytic_account_248","Getting Started with Precision Ag Drones - WAE Workshop","__setup__.company_mte","E0024"
"__setup__.account_analytic_account_300","Harper Adams","base.main_company","E0032"
"__setup__.account_analytic_account_204","IBALOU/IBISCUS","base.main_company","P0006"
"__setup__.account_analytic_account_287","IBALOU/IBISCUS","__setup__.company_mte","P0006"
"__setup__.account_analytic_account_222","ILMF","__setup__.company_mte","E0017"
"__setup__.account_analytic_account_301","Info AG","__setup__.company_mte","E0033"
"__setup__.account_analytic_account_216","Intergeo","base.main_company","E0011"
"__setup__.account_analytic_account_299","Intergeo Tech Days","base.main_company","E0031"
"__setup__.account_analytic_account_214","Intersolar Europe","base.main_company","E0009"
"__setup__.account_analytic_account_233","Jenkins clone","base.main_company","I0005"
"__setup__.account_analytic_account_217","Journee ASIT VD","base.main_company","E0012"
"__setup__.account_analytic_account_292","KISS","base.main_company","P0018"
"__setup__.account_analytic_account_297","Lafarge Holcim","base.main_company","E0029"
"__setup__.account_analytic_account_210","LA Geospatial Forum","base.main_company","E0005"
"__setup__.account_analytic_account_281","Marketing items","base.main_company","P0017"
"__setup__.account_analytic_account_291","Marketing items","__setup__.company_mte","P0017"
"__setup__.account_analytic_account_200","Messina","base.main_company","P0002"
"__setup__.account_analytic_account_283","Messina","__setup__.company_mte","P0002"
"__setup__.account_analytic_account_310","MRO Package","__setup__.company_mte","P0021"
"__setup__.account_analytic_account_304","MRO Package","base.main_company","P0021"
"__setup__.account_analytic_account_237","New Jenkins infra for software build redundancy","base.main_company","I0009"
"__setup__.account_analytic_account_196","Odoo 10 update","base.main_company","I0001"
"__setup__.account_analytic_account_209","PARTNER CONFERENCE","base.main_company","E0004"
"__setup__.account_analytic_account_279","Payloads","base.main_company","P0015"
"__setup__.account_analytic_account_225","PDAC","__setup__.company_mte","E0020"
"__setup__.account_analytic_account_305","Pix4d","base.main_company","P0022"
"__setup__.account_analytic_account_213","Plantworx","base.main_company","E0008"
"__setup__.account_analytic_account_198","Processus internes","base.main_company","I0003"
"__setup__.account_analytic_account_197","Qlikview","base.main_company","I0002"
"__setup__.account_analytic_account_236","Security audit","base.main_company","I0008"
"__setup__.account_analytic_account_308","SenseFly INC","base.main_company","P0023"
"__setup__.account_analytic_account_278","Sequoia","base.main_company","P0014"
"__setup__.account_analytic_account_201","SODA","base.main_company","P0003"
