"id","name","analytic_dimension_id/id","code"
"__setup__.account_analytic_tag_186","Achat","__setup__.account_analytic_dimension_team","ACHA"
"__setup__.account_analytic_tag_193","Agriculture Vertical","__setup__.account_analytic_dimension_team","AGRI"
"__setup__.account_analytic_tag_177","Automatique","__setup__.account_analytic_dimension_team","AUTO"
"__setup__.account_analytic_tag_187","Banc de test","__setup__.account_analytic_dimension_team","BDT"
"__setup__.account_analytic_tag_238","CEO","__setup__.account_analytic_dimension_team","CEO"
"__setup__.account_analytic_tag_241","Certification","__setup__.account_analytic_dimension_team","CERT"
"__setup__.account_analytic_tag_194","Commun fonction","__setup__.account_analytic_dimension_team","COMM"
"__setup__.account_analytic_tag_239","COO","__setup__.account_analytic_dimension_team","COO"
"__setup__.account_analytic_tag_243","CSO","__setup__.account_analytic_dimension_team","CSO"
"__setup__.account_analytic_tag_180","CTO / Project Managmenent ","__setup__.account_analytic_dimension_team","CTO"
"__setup__.account_analytic_tag_188","Customer Service & Satisfaction","__setup__.account_analytic_dimension_team","CSS"
"__setup__.account_analytic_tag_247","eCommerce","__setup__.account_analytic_dimension_team","ECOM"
"__setup__.account_analytic_tag_176","ERP","__setup__.account_analytic_dimension_team","ERP"
"__setup__.account_analytic_tag_173","Finance/Compta","__setup__.account_analytic_dimension_team","FIN"
"__setup__.account_analytic_tag_182","Hardware","__setup__.account_analytic_dimension_team","HARD"
"__setup__.account_analytic_tag_183","Industrialisation","__setup__.account_analytic_dimension_team","INDU"
"__setup__.account_analytic_tag_244","Inspection","__setup__.account_analytic_dimension_team","INSP"
"__setup__.account_analytic_tag_96","IT","__setup__.account_analytic_dimension_team","IT"
"__setup__.account_analytic_tag_175","Legal","__setup__.account_analytic_dimension_team","LEGL"
"__setup__.account_analytic_tag_184","Logistique","__setup__.account_analytic_dimension_team","LOGI"
"__setup__.account_analytic_tag_191","Marketing","__setup__.account_analytic_dimension_team","MKT"
"__setup__.account_analytic_tag_179","Mecanique","__setup__.account_analytic_dimension_team","MECA"
"__setup__.account_analytic_tag_185","Production","__setup__.account_analytic_dimension_team","PROD"
"__setup__.account_analytic_tag_242","Qualité","__setup__.account_analytic_dimension_team","QA"
"__setup__.account_analytic_tag_246","Regulatory","__setup__.account_analytic_dimension_team","REGP"
"__setup__.account_analytic_tag_174","Ressources Humaines","__setup__.account_analytic_dimension_team","RH"
"__setup__.account_analytic_tag_190","Sales","__setup__.account_analytic_dimension_team","SALE"
"__setup__.account_analytic_tag_189","Shipping","__setup__.account_analytic_dimension_team","SHIP"
"__setup__.account_analytic_tag_178","Software","__setup__.account_analytic_dimension_team","SOFT"
"__setup__.account_analytic_tag_276","Supply","__setup__.account_analytic_dimension_team","SUPP"
"__setup__.account_analytic_tag_192","Surveying","__setup__.account_analytic_dimension_team","SURV"
"__setup__.account_analytic_tag_245","Training","__setup__.account_analytic_dimension_team","TRNG"
"__setup__.account_analytic_tag_181","Validation qualité","__setup__.account_analytic_dimension_team","SQA"
