"id","code","name","country_id/id"
"__setup__.res_country_state_112","H","Heredia","base.cr"
"__setup__.res_country_state_114","BKK"," Bangkok","base.th"
"__setup__.res_country_state_116","LN","Liao Ning","base.cn"
"__setup__.res_country_state_89","VC","Valle del Cauca","base.co"
"__setup__.res_country_state_91","Sgo","Santiago","base.cl"
"__setup__.res_country_state_94","Hui","Huila","base.co"
"__setup__.res_country_state_95","Ant","Antioquia","base.co"
"__setup__.res_country_state_108","JL","Essex","base.uk"
"__setup__.res_country_state_99","591","Santa Cruz","base.bo"
"__setup__.res_country_state_69","NS","NanShan District","base.cn"
