"id","company_id/id","name","code","type_id/id","date_start","date_end","active"
"__setup__.date_range_1","base.main_company","2017","2017","account_fiscal_year.fiscalyear","2017-01-01","2017-12-31","True"
"__setup__.date_range_2","base.main_company","01/2017","012017","sf_date_range.sf_date_range_type_month_sa","2017-01-01","2017-01-31","True"
"__setup__.date_range_3","base.main_company","02/2017","022017","sf_date_range.sf_date_range_type_month_sa","2017-02-01","2017-02-28","True"
"__setup__.date_range_4","base.main_company","03/2017","032017","sf_date_range.sf_date_range_type_month_sa","2017-03-01","2017-03-31","True"
"__setup__.date_range_5","base.main_company","04/2017","042017","sf_date_range.sf_date_range_type_month_sa","2017-04-01","2017-04-30","True"
"__setup__.date_range_6","base.main_company","05/2017","052017","sf_date_range.sf_date_range_type_month_sa","2017-05-01","2017-05-31","True"
"__setup__.date_range_7","base.main_company","06/2017","062017","sf_date_range.sf_date_range_type_month_sa","2017-06-01","2017-06-30","True"
"__setup__.date_range_8","base.main_company","07/2017","072017","sf_date_range.sf_date_range_type_month_sa","2017-07-01","2017-07-31","True"
"__setup__.date_range_9","base.main_company","08/2017","082017","sf_date_range.sf_date_range_type_month_sa","2017-08-01","2017-08-31","True"
"__setup__.date_range_10","base.main_company","09/2017","092017","sf_date_range.sf_date_range_type_month_sa","2017-09-01","2017-09-30","True"
"__setup__.date_range_11","base.main_company","10/2017","102017","sf_date_range.sf_date_range_type_month_sa","2017-10-01","2017-10-31","True"
"__setup__.date_range_12","base.main_company","11/2017","112017","sf_date_range.sf_date_range_type_month_sa","2017-11-01","2017-11-30","True"
"__setup__.date_range_13","base.main_company","12/2017","122017","sf_date_range.sf_date_range_type_month_sa","2017-12-01","2017-12-31","True"
