"id","invoice_id/id","company_id/id","partner_id/id","account_id/id","product_id/id","name","price_unit","quantity","discount"
"__setup__.account_invoice_line_74941","__setup__.account_invoice_30949","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_1674","[504-12-01] EP canopy for battery","45.9","2.0","0.0"
"__setup__.account_invoice_line_74942","__setup__.account_invoice_30949","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","Shipping","495.83","1.0","0.0"
"__setup__.account_invoice_line_71227","__setup__.account_invoice_29779","base.main_company","__setup__.res_partner_197","l10n_ch.1_ch_coa_1100","__setup__.product_template_1597","[504-02-01] battery ESEP HS code: 8507.6000","69.75","2.0","0.0"
"__setup__.account_invoice_line_71250","__setup__.account_invoice_29794","base.main_company","__setup__.res_partner_197","l10n_ch.1_ch_coa_1100","__setup__.product_template_1378","[502-34-01] Sequoia with EB integration kit HS code: 8525.8010","2996.25","1.0","0.0"
"__setup__.account_invoice_line_71177","__setup__.account_invoice_29757","base.main_company","__setup__.res_partner_5596","l10n_ch.1_ch_coa_1100","__setup__.product_template_1272","[MAPPER-YEAR] Pix4Dmapper Pro, Yearly rental","3200.0","1.0","0.0"
"__setup__.account_invoice_line_67584","__setup__.account_invoice_28515","base.main_company","__setup__.res_partner_196","l10n_ch.1_ch_coa_1100","__setup__.product_template_1657","[404-01-01] eBee Plus The eBee Plus is a ready-to-deploy drone with a modular wing design, allowing transport in a hard carry case. It is equipped with a high-resolution senseFly S.O.D.A. sensor and comes with all  software and equipment needed for immediate operation.  The package includes: • eBee Plus (ready-to-fly drone with built-in autopilot for fully autonomous navigation incl. take-off and landing and automatic control of the on-board camera) • senseFly S.O.D.A. sensor • 2 x protective lens • lens cloth, liquid & pen for cleaning • memory card • 2.4GHz USB radio modem EB for data link • 2.4GHz remote control (in case a safety pilot is required) • two (2) batteries ESEP • single charger for battery • 1 spare propeller (2 pack)  • 1 spare rubber band (10 pack) • 1 EPP glue • transport box with space for all material • download access to user manuals • senseFly Logbook  HS code: 8525.8090  Note: The eBee Plus package allows download and use of eMotion 3* at no extra cost. *Software license terms and conditions apply","11081.0","1.0","0.0"
"__setup__.account_invoice_line_67585","__setup__.account_invoice_28515","base.main_company","__setup__.res_partner_196","l10n_ch.1_ch_coa_1100","__setup__.product_template_704","[502-23-01] EB underbody skin","34.85","5.0","0.0"
"__setup__.account_invoice_line_67586","__setup__.account_invoice_28515","base.main_company","__setup__.res_partner_196","l10n_ch.1_ch_coa_1100","__setup__.product_template_514","[702-13-01] EB blisters set for body","50.0","10.0","0.0"
"__setup__.account_invoice_line_67587","__setup__.account_invoice_28515","base.main_company","__setup__.res_partner_196","l10n_ch.1_ch_coa_1100","__setup__.product_template_1696","[702-60-01] retro-fit kit RTK HS Code: 8525.8090","770.0","1.0","0.0"
"__setup__.account_invoice_line_55774","__setup__.account_invoice_24346","base.main_company","__setup__.res_partner_38","l10n_ch.1_ch_coa_1100","__setup__.product_template_1279","[705-01-05] eBee service","1800.0","1.0","0.0"
"__setup__.account_invoice_line_56478","__setup__.account_invoice_24623","base.main_company","__setup__.res_partner_6089","l10n_ch.1_ch_coa_1100","__setup__.product_template_848","[500-01-03] WX RGB camera 18MP WX camera 18 MP that can be connected to and controlled via the drone's onboard autopilot system.  The high-resolution images can be downloaded after landing via USB-cable and processed with senseFly's Postflight software.   The WX camera 18 MP includes:  • camera battery  • camera battery charger  • memory card  • USB cable   HS code: 8525.8010","500.0","1.0","0.0"
"__setup__.account_invoice_line_56479","__setup__.account_invoice_24623","base.main_company","__setup__.res_partner_6089","l10n_ch.1_ch_coa_1100","__setup__.product_template_328","[502-01-01] wing pair EB One spare left and right wing for the eBee.  HS code: 8803.3000","200.0","2.0","0.0"
"__setup__.account_invoice_line_56480","__setup__.account_invoice_24623","base.main_company","__setup__.res_partner_6089","l10n_ch.1_ch_coa_1100","__setup__.product_template_468","[500-05-01] propeller SC-EB (2 pack) Spare propellers for eBee or swinglet. HS code: 8803.1000","56.0","6.0","0.0"
"__setup__.account_invoice_line_56481","__setup__.account_invoice_24623","base.main_company","__setup__.res_partner_6089","l10n_ch.1_ch_coa_1100","__setup__.product_template_133","[501-07-01] Rubber Bands (10 pack) Two (2) rubber bands at a time are needed to hold in place the propeller.  HS Code: 4016.9300","22.0","2.0","0.0"
"__setup__.account_invoice_line_56482","__setup__.account_invoice_24623","base.main_company","__setup__.res_partner_6089","l10n_ch.1_ch_coa_1100","__setup__.product_template_704","[502-23-01] EB underbody skin","38.0","2.0","0.0"
"__setup__.account_invoice_line_56483","__setup__.account_invoice_24623","base.main_company","__setup__.res_partner_6089","l10n_ch.1_ch_coa_1100","__setup__.product_template_700","[502-02-02] battery EB Li-Polymer battery for powering the eBee with up to 45 minutes operation time.  HS code: 8506.5000","120.0","2.0","0.0"
"__setup__.account_invoice_line_56484","__setup__.account_invoice_24623","base.main_company","__setup__.res_partner_6089","l10n_ch.1_ch_coa_1100","__setup__.product_template_514","[702-13-01] EB blisters set for body","48.0","2.0","0.0"
"__setup__.account_invoice_line_59796","__setup__.account_invoice_25792","base.main_company","__setup__.res_partner_3746","l10n_ch.1_ch_coa_1100","__setup__.product_template_700","[502-02-02] battery EB Li-Polymer battery for powering the eBee with up to 45 minutes operation time.  HS code: 8506.5000","80.0","6.0","0.0"
"__setup__.account_invoice_line_59797","__setup__.account_invoice_25792","base.main_company","__setup__.res_partner_3746","l10n_ch.1_ch_coa_1100","__setup__.product_template_468","[500-05-01] propeller SC-EB (2 pack) Spare propellers for eBee or swinglet. HS code: 8803.1000","25.0","6.0","0.0"
"__setup__.account_invoice_line_59798","__setup__.account_invoice_25792","base.main_company","__setup__.res_partner_3746","l10n_ch.1_ch_coa_1100","__setup__.product_template_848","[500-01-03] WX RGB camera 18MP WX camera 18 MP that can be connected to and controlled via the drone's onboard autopilot system.  The high-resolution images can be downloaded after landing via USB-cable and processed with senseFly's Postflight software.   The WX camera 18 MP includes:  • camera battery  • camera battery charger  • memory card  • USB cable   HS code: 8525.8010","500.0","1.0","0.0"
"__setup__.account_invoice_line_59799","__setup__.account_invoice_25792","base.main_company","__setup__.res_partner_3746","l10n_ch.1_ch_coa_1100","__setup__.product_template_133","[501-07-01] Rubber Bands (10 pack) Two (2) rubber bands at a time are needed to hold in place the propeller. HS Code: 4016.9300","5.0","1.0","0.0"
"__setup__.account_invoice_line_59800","__setup__.account_invoice_25792","base.main_company","__setup__.res_partner_3746","l10n_ch.1_ch_coa_1100","__setup__.product_template_328","[502-01-01] wing pair EB One spare left and right wing for the eBee. HS code: 3902.1000","200.0","1.0","0.0"
"__setup__.account_invoice_line_59801","__setup__.account_invoice_25792","base.main_company","__setup__.res_partner_3746","l10n_ch.1_ch_coa_1100","__setup__.product_template_124","[701-05-01] EPP glue UHU One tube of UHU glue, which can be used to repair EPP foam. HS Code: 3506.1000","10.0","1.0","0.0"
"__setup__.account_invoice_line_60518","__setup__.account_invoice_26075","base.main_company","__setup__.res_partner_6431","l10n_ch.1_ch_coa_1100","__setup__.product_template_1257","[402-01-03] eBee The eBee is a ready-to-deploy drone with a modular wing design, allowing transport in a carry-on luggage sized box. It is equipped with a high-resolution RGB camera and comes with all software and equipment needed for immediate operation. The package includes:  • eBee (ready-to-fly drone with built-in autopilot for fully autonomous navigation incl. take-off and landing and automatic control of the on-board camera) • RGB camera • camera battery charger with cables • 2.4GHz USB radio modem EB for data link • 2.4GHz remote control (in case a safety pilot is required) • two (2) batteries EB • single charger for battery • 1 spare propeller and rubber bands • 1 EPP glue • transport box with space for all material • user manual EB  HS code: 8802.2000  Note: The eBee package allows download and use of eMotion 2* at no extra cost. *Software license terms and conditions apply.","9000.0","1.0","0.0"
"__setup__.account_invoice_line_60524","__setup__.account_invoice_26075","base.main_company","__setup__.res_partner_6431","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","[-] Shipping","350.0","1.0","0.0"
"__setup__.account_invoice_line_60519","__setup__.account_invoice_26075","base.main_company","__setup__.res_partner_6431","l10n_ch.1_ch_coa_1100","__setup__.product_template_1270","[MAPPER-OTC1] Pix4Dmapper Pro (single device), One-time charge","4490.0","1.0","15.0"
"__setup__.account_invoice_line_60520","__setup__.account_invoice_26075","base.main_company","__setup__.res_partner_6431","l10n_ch.1_ch_coa_1100","__setup__.product_template_1378","[502-34-01] Sequoia with EB integration kit HS code: 8525.8010","3272.5","1.0","0.0"
"__setup__.account_invoice_line_60521","__setup__.account_invoice_26075","base.main_company","__setup__.res_partner_6431","l10n_ch.1_ch_coa_1100","__setup__.product_template_815","[502-28-01] thermoMAP","11900.0","1.0","0.0"
"__setup__.account_invoice_line_79199","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_1501","[502-45-01] Sequoia spare protective lens HS Code: 8529.9080","29.75","1.0","0.0"
"__setup__.account_invoice_line_79202","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_1596","[504-01-01] wing pair ESEP HS Code: 8803.3000","161.25","2.0","0.0"
"__setup__.account_invoice_line_79203","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","Shipping","308.75","1.0","0.0"
"__setup__.account_invoice_line_80621","__setup__.account_invoice_32801","base.main_company","__setup__.res_partner_24","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","[-] Shipping","71.75","1.0","0.0"
"__setup__.account_invoice_line_82278","__setup__.account_invoice_33314","base.main_company","__setup__.res_partner_787","l10n_ch.1_ch_coa_1100","__setup__.product_template_704","[502-23-01] EB underbody skin","30.6","1.0","0.0"
"__setup__.account_invoice_line_79472","__setup__.account_invoice_32395","base.main_company","__setup__.res_partner_4184","l10n_ch.1_ch_coa_1100","__setup__.product_template_521","[703-02-01] Repair Labour","120.0","3.0","0.0"
"__setup__.account_invoice_line_79473","__setup__.account_invoice_32395","base.main_company","__setup__.res_partner_4184","l10n_ch.1_ch_coa_1100","__setup__.product_template_571","[702-23-01] Pressure sensor (absolute ou differential)","80.0","1.0","0.0"
"__setup__.account_invoice_line_79474","__setup__.account_invoice_32395","base.main_company","__setup__.res_partner_4184","l10n_ch.1_ch_coa_1100","__setup__.product_template_704","[502-23-01] EB underbody skin","36.0","1.0","0.0"
"__setup__.account_invoice_line_79475","__setup__.account_invoice_32395","base.main_company","__setup__.res_partner_4184","l10n_ch.1_ch_coa_1100","__setup__.product_template_1648","[706-24-01] EP pitot sensor ebee + silicone tubes + LED","45.0","1.0","0.0"
"__setup__.account_invoice_line_79476","__setup__.account_invoice_32395","base.main_company","__setup__.res_partner_4184","l10n_ch.1_ch_coa_1100","__setup__.product_template_508","[702-07-01] EB optical flow lens + board","75.0","1.0","0.0"
"__setup__.account_invoice_line_80963","__setup__.account_invoice_32889","base.main_company","__setup__.res_partner_7316","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","Shipping","118.1","1.0","0.0"
"__setup__.account_invoice_line_79315","__setup__.account_invoice_32319","base.main_company","__setup__.res_partner_5630","l10n_ch.1_ch_coa_1100","__setup__.product_template_702","[502-12-02] EB canopy for battery (magnetic) Foam cover for battery bay on eBee, including clips and sticker.  HS code: 6305.3900","50.0","1.0","0.0"
"__setup__.account_invoice_line_79316","__setup__.account_invoice_32319","base.main_company","__setup__.res_partner_5630","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","[-] Shipping","5.0","1.0","0.0"
"__setup__.account_invoice_line_76086","__setup__.account_invoice_31285","base.main_company","__setup__.res_partner_3712","l10n_ch.1_ch_coa_1100","__setup__.product_template_507","[702-06-01] EB pitot sensor ebee + silicone tubes + LED","45.0","1.0","0.0"
"__setup__.account_invoice_line_74940","__setup__.account_invoice_30949","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_700","[502-02-02] battery EB Li-Polymer battery for powering the eBee with up to 45 minutes operation time.  HS code: 8506.5000","64.5","4.0","0.0"
"__setup__.account_invoice_line_76090","__setup__.account_invoice_31285","base.main_company","__setup__.res_partner_3712","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","[-] Shipping","52.55","1.0","0.0"
"__setup__.account_invoice_line_76089","__setup__.account_invoice_31285","base.main_company","__setup__.res_partner_3712","l10n_ch.1_ch_coa_1100","__setup__.product_template_521","[703-02-01] Repair Labour","120.0","1.0","0.0"
"__setup__.account_invoice_line_76088","__setup__.account_invoice_31285","base.main_company","__setup__.res_partner_3712","l10n_ch.1_ch_coa_1100","__setup__.product_template_808","[702-29-02] Micro SD 8G class 10 (Internal)","14.0","1.0","0.0"
"__setup__.account_invoice_line_76087","__setup__.account_invoice_31285","base.main_company","__setup__.res_partner_3712","l10n_ch.1_ch_coa_1100","__setup__.product_template_704","[502-23-01] EB underbody skin","30.6","1.0","0.0"
"__setup__.account_invoice_line_79200","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_1795","[502-46-01] sequoia set of 2 spare cables HS Code : 8544.4200","57.8","1.0","0.0"
"__setup__.account_invoice_line_79201","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_1310","[502-32-01] Sequoia Multispectral sensor for eBee drone  HS code: 8525.8090","2975.0","1.0","0.0"
"__setup__.account_invoice_line_79195","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_1605","[504-10-01] ES under body skin HS Code: 3920.6100","34.85","4.0","0.0"
"__setup__.account_invoice_line_79196","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_569","[702-20-01] EB ground station antenna HS 9015.9000","11.0","2.0","0.0"
"__setup__.account_invoice_line_79197","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_1219","[500-18-02] SD memory card 32Gb","28.9","20.0","0.0"
"__setup__.account_invoice_line_79198","__setup__.account_invoice_32276","base.main_company","__setup__.res_partner_7049","l10n_ch.1_ch_coa_1100","__setup__.product_template_1469","[502-38-01] sequoia calibration target HS Code : 9033.0000","182.75","1.0","0.0"
"__setup__.account_invoice_line_88839","__setup__.account_invoice_35438","base.main_company","__setup__.res_partner_4985","l10n_ch.1_ch_coa_1100","__setup__.product_template_504","[702-03-01] EB motor set (motor + controller + mount + prop mount+washer+alu screws)","370.0","1.0","0.0"
"__setup__.account_invoice_line_71209","__setup__.account_invoice_29771","base.main_company","__setup__.res_partner_4526","l10n_ch.1_ch_coa_1100","__setup__.product_template_848","[500-01-03] WX RGB camera 18MP","400.0","1.0","0.0"
"__setup__.account_invoice_line_78781","__setup__.account_invoice_32130","base.main_company","__setup__.res_partner_6047","l10n_ch.1_ch_coa_1100","__setup__.product_template_1848","[502-54-01] eBee integration kit for senseFly S.O.D.A. Corridor HS Code: 8529.9080","100.3","1.0","0.0"
"__setup__.account_invoice_line_78778","__setup__.account_invoice_32130","base.main_company","__setup__.res_partner_6047","l10n_ch.1_ch_coa_1100","__setup__.product_template_562","[500-17-01] Radio tracker (receiver & transmitter) Easily track your drone after landing. This system includes a transmitter and a digital receiver. To be able to radio-track it whenever needed, the tiny transmitter simply has to be placed on the drone. Radiotracking system allows the user to locate the target and to recover it even if the distance is upper few tens of kilometers  HS code : 8526.1000","700.0","1.0","0.0"
"__setup__.account_invoice_line_78779","__setup__.account_invoice_32130","base.main_company","__setup__.res_partner_6047","l10n_ch.1_ch_coa_1100","__setup__.product_template_1600","[504-05-01] propeller ESEP (2 pack) HS Code: 8803.1000","20.25","2.0","0.0"
"__setup__.account_invoice_line_80466","__setup__.account_invoice_32742","base.main_company","__setup__.res_partner_1162","l10n_ch.1_ch_coa_1100","__setup__.product_template_1663","[706-01-01] eBee Plus RTK/PPK upgrade HS Code: 8525.8090","8392.0","1.0","0.0"
"__setup__.account_invoice_line_71176","__setup__.account_invoice_29757","base.main_company","__setup__.res_partner_5596","l10n_ch.1_ch_coa_1100","__setup__.product_template_1265","[602-01-01] Operator training for eBee Drone ","1000.0","1.0","0.0"
"__setup__.account_invoice_line_60522","__setup__.account_invoice_26075","base.main_company","__setup__.res_partner_6431","l10n_ch.1_ch_coa_1100","__setup__.product_template_332","[602-01-01] operator training for eBee A training that primarily addresses end customers (up to 3 people). The course teaches how to operate the eBee.  Training at senseFly office, topics include: • eMotion 2 control software principles • pre-flight checks • take-off & landings • mission planning with eMotion 2 • flight excecution and control • error understanding • using Postflight Terra 3D • basic maintenance • safety & regulatory aspects","280.0","1.0","0.0"
"__setup__.account_invoice_line_60523","__setup__.account_invoice_26075","base.main_company","__setup__.res_partner_6431","l10n_ch.1_ch_coa_1100","__setup__.product_template_1268","[605-01-01] Photogrammetry basics and use of Pix4Dmapper ","80.0","1.0","0.0"
"__setup__.account_invoice_line_78777","__setup__.account_invoice_32130","base.main_company","__setup__.res_partner_6047","l10n_ch.1_ch_coa_1100","__setup__.product_template_1658","[404-03-01] eBee Plus RTK The eBee Plus RTK/PPK is a ready-to-deploy drone with a modular wing design, allowing transport in a hard carry case. It is equipped with a high-resolution senseFly S.O.D.A. sensor and comes with all software and equipment needed for immediate operation. The package includes:  • eBee Plus RTK/PPK (ready-to-fly drone with built-in autopilot for fully autonomous navigation incl. take-off and landing and automatic control of the on-board camera) • senseFly S.O.D.A. sensor • 2 x protective lens • lens cloth, liquid & pen for cleaning • memory card • RTK/PPK module activated • 2.4GHz USB radio modem EB for data link • 2.4GHz remote control (in case a safety pilot is required) • two (2) batteries ESEP • single charger for battery • 1 spare propeller (2 pack)  • 1 spare rubber band (10 pack) • 1 EPP glue  HS code: 8525.8000  Note: The eBee Plus package allows download and use of eMotion 3* at no extra cost. *Software license terms and conditions apply. ","13495.0","1.0","0.0"
"__setup__.account_invoice_line_78780","__setup__.account_invoice_32130","base.main_company","__setup__.res_partner_6047","l10n_ch.1_ch_coa_1100","__setup__.product_template_1601","[504-06-01] rubber bands ESEP (10 pack) HS Code: 4016.9300","4.5","5.0","0.0"
"__setup__.account_invoice_line_80067","__setup__.account_invoice_32596","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_468","[500-05-01] propeller SC-EB (2 pack) Spare propellers for eBee or swinglet. HS code: 8803.1000","20.25","2.0","0.0"
"__setup__.account_invoice_line_80068","__setup__.account_invoice_32596","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_474","[502-12-01] EB canopy for battery (clip) Foam cover for battery bay on eBee, including clips and sticker.","45.9","2.0","0.0"
"__setup__.account_invoice_line_80069","__setup__.account_invoice_32596","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_1666","[504-13-01] EP underbody skin HS Code: 8803.3000","34.85","1.0","0.0"
"__setup__.account_invoice_line_80070","__setup__.account_invoice_32596","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_1605","[504-10-01] ES under body skin HS Code: 3920.6100","34.85","1.0","0.0"
"__setup__.account_invoice_line_80071","__setup__.account_invoice_32596","base.main_company","__setup__.res_partner_1792","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","[-] Shipping","40.0","1.0","0.0"
"__setup__.account_invoice_line_80328","__setup__.account_invoice_32673","base.main_company","__setup__.res_partner_5130","l10n_ch.1_ch_coa_1100","__setup__.product_template_1825","[504-16-01] senseFly Dronepack HS Code: 4202.9200","399.0","1.0","0.0"
"__setup__.account_invoice_line_80321","__setup__.account_invoice_32669","base.main_company","__setup__.res_partner_5745","l10n_ch.1_ch_coa_1100","__setup__.product_template_1744","[MAPPER-OTC1-U&S] Pix4Dmapper Pro (single device), Upgrades & Support","674.1","1.0","0.0"
"__setup__.account_invoice_line_80443","__setup__.account_invoice_32731","base.main_company","__setup__.res_partner_6887","l10n_ch.1_ch_coa_1100","__setup__.product_template_1270","[MAPPER-OTC1] Pix4Dmapper Pro (single device), One-time charge","3742.5","1.0","0.0"
"__setup__.account_invoice_line_80444","__setup__.account_invoice_32731","base.main_company","__setup__.res_partner_6887","l10n_ch.1_ch_coa_1100","__setup__.product_template_1273","[MAPPER-MONTH] Pix4Dmapper Pro, Monthly rental","262.5","1.0","0.0"
"__setup__.account_invoice_line_80962","__setup__.account_invoice_32889","base.main_company","__setup__.res_partner_7316","l10n_ch.1_ch_coa_1100","__setup__.product_template_1270","[MAPPER-OTC1] Pix4Dmapper Pro (single device), One-time charge","2992.5","1.0","0.0"
"__setup__.account_invoice_line_74870","__setup__.account_invoice_30924","base.main_company","__setup__.res_partner_2689","l10n_ch.1_ch_coa_1100","__setup__.product_template_910","[702-04-01] EB autopilot & boards","3750.0","1.0","0.0"
"__setup__.account_invoice_line_80960","__setup__.account_invoice_32889","base.main_company","__setup__.res_partner_7316","l10n_ch.1_ch_coa_1100","__setup__.product_template_1658","[404-03-01] eBee Plus RTK The eBee Plus RTK/PPK is a ready-to-deploy drone with a modular wing design, allowing transport in a hard carry case. It is equipped with a high-resolution senseFly S.O.D.A. sensor and comes with all software and equipment needed for immediate operation. The package includes:  • eBee Plus RTK/PPK (ready-to-fly drone with built-in autopilot for fully autonomous navigation incl. take-off and landing and automatic control of the on-board camera) • senseFly S.O.D.A. sensor • 2 x protective lens • lens cloth, liquid & pen for cleaning • memory card • RTK/PPK module activated • 2.4GHz USB radio modem EB for data link • 2.4GHz remote control (in case a safety pilot is required) • two (2) batteries ESEP • single charger for battery • 1 spare propeller (2 pack)  • 1 spare rubber band (10 pack) • 1 EPP glue  HS code: 8525.8000  Note: The eBee Plus package allows download and use of eMotion 3* at no extra cost. *Software license terms and conditions apply. ","12495.0","1.0","0.0"
"__setup__.account_invoice_line_80961","__setup__.account_invoice_32889","base.main_company","__setup__.res_partner_7316","l10n_ch.1_ch_coa_1100","__setup__.product_template_1378","[502-34-01] Sequoia with EB integration kit HS code: 8525.8010","2996.25","1.0","0.0"
"__setup__.account_invoice_line_79471","__setup__.account_invoice_32395","base.main_company","__setup__.res_partner_4184","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","[-] Shipping","52.75","1.0","0.0"
"__setup__.account_invoice_line_81553","__setup__.account_invoice_33083","base.main_company","__setup__.res_partner_6970","l10n_ch.1_ch_coa_1100","__setup__.product_template_1697","[702-59-01] retro-fit service EP","2600.0","1.0","0.0"
"__setup__.account_invoice_line_88840","__setup__.account_invoice_35438","base.main_company","__setup__.res_partner_4985","l10n_ch.1_ch_coa_1100","__setup__.product_template_502","[702-01-01] EB Servo set + servo-wing connector (2 items)","192.0","1.0","100.0"
"__setup__.account_invoice_line_82303","__setup__.account_invoice_33325","base.main_company","__setup__.res_partner_3","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","[-] Shipping","41.75","1.0","0.0"
"__setup__.account_invoice_line_81636","__setup__.account_invoice_33110","base.main_company","__setup__.res_partner_6278","l10n_ch.1_ch_coa_1100","__setup__.product_template_1386","[901-01-01] eBee mock unit (400x30mm pole, holder & case included) HS code: 9023.0000","2200.0","1.0","100.0"
"__setup__.account_invoice_line_81637","__setup__.account_invoice_33110","base.main_company","__setup__.res_partner_6278","l10n_ch.1_ch_coa_1100","__setup__.product_template_1850","[903-01-02] Display kit ESEP (pole & holder) HS Code: 9403.2090","420.0","2.0","0.0"
"__setup__.account_invoice_line_81638","__setup__.account_invoice_33110","base.main_company","__setup__.res_partner_6278","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","Shipping","66.9","1.0","0.0"
"__setup__.account_invoice_line_82304","__setup__.account_invoice_33325","base.main_company","__setup__.res_partner_3","l10n_ch.1_ch_coa_1100","__setup__.product_template_848","[500-01-03] WX RGB camera 18MP","372.0","1.0","0.0"
"__setup__.account_invoice_line_88841","__setup__.account_invoice_35438","base.main_company","__setup__.res_partner_4985","l10n_ch.1_ch_coa_1100","__setup__.product_template_328","[502-01-01] wing pair EB","200.0","1.0","0.0"
"__setup__.account_invoice_line_88842","__setup__.account_invoice_35438","base.main_company","__setup__.res_partner_4985","l10n_ch.1_ch_coa_1100","__setup__.product_template_1796","[705-20-01] EB Pitot sensor replacement service","500.0","1.0","100.0"
"__setup__.account_invoice_line_90735","__setup__.account_invoice_36048","base.main_company","__setup__.res_partner_6360","l10n_ch.1_ch_coa_1100","__setup__.product_template_521","[703-02-01] Repair Labour","120.0","1.0","0.0"
"__setup__.account_invoice_line_83104","__setup__.account_invoice_33592","base.main_company","__setup__.res_partner_6360","l10n_ch.1_ch_coa_1100","__setup__.product_template_700","[502-02-02] battery EB Li-Polymer battery for powering the eBee with up to 45 minutes operation time.  HS code: 8506.5000","60.0","10.0","0.0"
"__setup__.account_invoice_line_83105","__setup__.account_invoice_33592","base.main_company","__setup__.res_partner_6360","l10n_ch.1_ch_coa_1100","__setup__.product_template_468","[500-05-01] propeller SC-EB (2 pack) Spare propellers for eBee or swinglet. HS code: 8803.1000","18.75","4.0","0.0"
"__setup__.account_invoice_line_83106","__setup__.account_invoice_33592","base.main_company","__setup__.res_partner_6360","l10n_ch.1_ch_coa_1100","__setup__.product_template_133","[501-07-01] Rubber Bands (10 pack) Two (2) rubber bands at a time are needed to hold in place the propeller. HS Code: 4016.9300","3.75","3.0","0.0"
"__setup__.account_invoice_line_83107","__setup__.account_invoice_33592","base.main_company","__setup__.res_partner_6360","l10n_ch.1_ch_coa_1100","__setup__.product_template_330","[500-03-01] single charger 220/110/12V for EB battery It can be powered by either 220V AC, 110V AC or 12V DC (e.g. car battery). HS code: 8504.4040","67.5","3.0","0.0"
"__setup__.account_invoice_line_83108","__setup__.account_invoice_33592","base.main_company","__setup__.res_partner_6360","l10n_ch.1_ch_coa_1100","__setup__.product_template_976","[503-01-01] battery EX  HS code: 8506.5000","187.5","4.0","0.0"
"__setup__.account_invoice_line_88843","__setup__.account_invoice_35438","base.main_company","__setup__.res_partner_4985","l10n_ch.1_ch_coa_1100","__setup__.product_template_521","[703-02-01] Repair Labour","120.0","2.0","0.0"
"__setup__.account_invoice_line_83109","__setup__.account_invoice_33592","base.main_company","__setup__.res_partner_6360","l10n_ch.1_ch_coa_1100","__setup__.product_template_7","Shipping","17.0","1.0","0.0"
