"id","company_id/id","partner_id/id","number","currency_id/id","date_invoice","journal_id/id","account_id/id","type","state"
"__setup__.account_invoice_31767","base.main_company","__setup__.res_partner_3071","ecnj/2017/0171","base.CHF","2017-05-23","__setup__.account_journal_10","l10n_ch.1_ch_coa_2000","in_refund","open"
"__setup__.account_invoice_34693","base.main_company","__setup__.res_partner_3176","EXJ/2017/21929","base.CHF","2017-09-15","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34548","base.main_company","__setup__.res_partner_3176","EXJ/2017/21851","base.CHF","2017-09-12","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34811","base.main_company","__setup__.res_partner_3715","EXJ/2017/22358","base.CHF","2017-10-04","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35367","base.main_company","__setup__.res_partner_181","EXJ/2017/22253","base.CHF","2017-10-09","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34515","base.main_company","__setup__.res_partner_3176","EXJ/2017/21842","base.CHF","2017-09-08","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34835","base.main_company","__setup__.res_partner_3176","EXJ/2017/21982","base.CHF","2017-09-22","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35415","base.main_company","__setup__.res_partner_5987","EXJ/2017/22295","base.CHF","2017-10-12","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35299","base.main_company","__setup__.res_partner_409","EXJ/2017/22225","base.CHF","2017-10-03","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35243","base.main_company","__setup__.res_partner_275","EXJ/2017/22198","base.CHF","2017-10-02","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35010","base.main_company","__setup__.res_partner_5596","ecnj/2017/0209","base.EUR","2017-09-01","__setup__.account_journal_10","l10n_ch.1_ch_coa_2000","in_refund","open"
"__setup__.account_invoice_35332","base.main_company","__setup__.res_partner_794","EXJ/2017/22245","base.CHF","2017-10-04","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35244","base.main_company","__setup__.res_partner_394","EXJ/2017/22199","base.CHF","2017-10-02","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35417","base.main_company","__setup__.res_partner_5543","EXJ/2017/22297","base.CHF","2017-10-09","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35418","base.main_company","__setup__.res_partner_7523","EXJ/2017/22298","base.CHF","2017-10-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35301","base.main_company","__setup__.res_partner_65","EXJ/2017/22227","base.CHF","2017-10-05","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34748","base.main_company","__setup__.res_partner_3176","EXJ/2017/21950","base.CHF","2017-09-19","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35335","base.main_company","__setup__.res_partner_3176","EXJ/2017/22246","base.CHF","2017-10-13","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35420","base.main_company","__setup__.res_partner_5543","EXJ/2017/22300","base.CHF","2017-10-04","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35583","base.main_company","__setup__.res_partner_136","EXJ/2017/22354","base.CHF","2017-10-19","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35416","base.main_company","__setup__.res_partner_7222","EXJ/2017/22296","base.CHF","2017-10-02","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35062","base.main_company","__setup__.res_partner_3176","EXJ/2017/22102","base.CHF","2017-09-29","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35516","base.main_company","__setup__.res_partner_3176","EXJ/2017/22311","base.CHF","2017-10-24","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_33575","base.main_company","__setup__.res_partner_405","ecnj/2017/0195","base.USD","2017-07-31","__setup__.account_journal_10","l10n_ch.1_ch_coa_2000","in_refund","open"
"__setup__.account_invoice_34348","base.main_company","__setup__.res_partner_3176","EXJ/2017/21743","base.CHF","2017-09-05","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_31986","base.main_company","__setup__.res_partner_3841","EXJ/2017/21962","base.EUR","2017-09-21","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35519","base.main_company","__setup__.res_partner_3176","EXJ/2017/22314","base.CHF","2017-10-20","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35296","base.main_company","__setup__.res_partner_5120","EXJ/2017/22222","base.EUR","2017-10-06","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35604","base.main_company","__setup__.res_partner_6108","EXJ/2017/22366","base.CHF","2017-10-25","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35086","base.main_company","__setup__.res_partner_3176","EXJ/2017/22113","base.CHF","2017-10-03","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34516","base.main_company","__setup__.res_partner_5768","EXJ/2017/22030","base.EUR","2017-09-18","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35303","base.main_company","__setup__.res_partner_65","EXJ/2017/22229","base.CHF","2017-10-03","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34859","base.main_company","__setup__.res_partner_3176","EXJ/2017/22001","base.CHF","2017-09-26","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35242","base.main_company","__setup__.res_partner_81","EXJ/2017/22197","base.CHF","2017-10-04","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35530","base.main_company","__setup__.res_partner_74","EXJ/2017/22323","base.CHF","2017-10-16","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35270","base.main_company","__setup__.res_partner_86","EXJ/2017/22216","base.CHF","2017-10-06","__setup__.account_journal_8","__setup__.account_account_1582","in_invoice","open"
"__setup__.account_invoice_35245","base.main_company","__setup__.res_partner_3176","EXJ/2017/22200","base.CHF","2017-10-06","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35528","base.main_company","__setup__.res_partner_293","EXJ/2017/22321","base.CHF","2017-10-12","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35393","base.main_company","__setup__.res_partner_3176","EXJ/2017/22277","base.CHF","2017-10-17","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35529","base.main_company","__setup__.res_partner_3053","EXJ/2017/22322","base.CHF","2017-10-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35268","base.main_company","__setup__.res_partner_3176","EXJ/2017/22214","base.CHF","2017-10-10","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35316","base.main_company","__setup__.res_partner_5048","EXJ/2017/22236","base.CHF","2017-10-09","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35531","base.main_company","__setup__.res_partner_181","EXJ/2017/22324","base.CHF","2017-10-16","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34976","base.main_company","__setup__.res_partner_6447","EXJ/2017/22289","base.EUR","2017-10-10","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35394","base.main_company","__setup__.res_partner_909","EXJ/2017/22279","base.CHF","2017-10-09","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35612","base.main_company","__setup__.res_partner_2715","EXJ/2017/22370","base.CHF","2017-10-24","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35395","base.main_company","__setup__.res_partner_65","EXJ/2017/22282","base.CHF","2017-10-12","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_32136","base.main_company","__setup__.res_partner_6056","EXJ/2017/22278","base.USD","2017-10-17","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34171","base.main_company","__setup__.res_partner_5768","EXJ/2017/22140","base.EUR","2017-09-25","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35071","base.main_company","__setup__.res_partner_4939","EXJ/2017/22143","base.EUR","2017-09-27","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35586","base.main_company","__setup__.res_partner_5768","EXJ/2017/22359","base.EUR","2017-10-09","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_34905","base.main_company","__setup__.res_partner_6447","EXJ/2017/22355","base.EUR","2017-10-11","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35588","base.main_company","__setup__.res_partner_319","EXJ/2017/22361","base.CHF","2017-10-11","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35582","base.main_company","__setup__.res_partner_6447","EXJ/2017/22353","base.EUR","2017-10-11","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35397","base.main_company","__setup__.res_partner_409","EXJ/2017/22284","base.CHF","2017-10-09","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35047","base.main_company","__setup__.res_partner_4292","EXJ/2017/22286","base.EUR","2017-10-11","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35585","base.main_company","__setup__.res_partner_360","EXJ/2017/22356","base.EUR","2017-10-09","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_33792","base.main_company","__setup__.res_partner_4632","EXJ/2017/22357","base.EUR","2017-10-18","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
"__setup__.account_invoice_35077","base.main_company","__setup__.res_partner_911","EXJ/2017/22287","base.CHF","2017-10-06","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","open"
