"id","invoice_id/id","company_id/id","partner_id/id","account_id/id","product_id/id","name","price_unit","quantity","discount"
"__setup__.account_invoice_line_59667","__setup__.account_invoice_25733","base.main_company","__setup__.res_partner_5768","__setup__.account_account_721","","Forfait proto Mousse","150.0","1.0","0.0"
"__setup__.account_invoice_line_59668","__setup__.account_invoice_25733","base.main_company","__setup__.res_partner_5768","__setup__.account_account_1534","","Frais techniques","70.0","1.0","0.0"
"__setup__.account_invoice_line_86980","__setup__.account_invoice_34835","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","4439.0","1.0","0.0"
"__setup__.account_invoice_line_83753","__setup__.account_invoice_33792","base.main_company","__setup__.res_partner_4632","__setup__.account_account_721","__setup__.product_template_894","[60337] Speed controller YGE 30 (fast reverse, special software)","31.5","250.0","0.0"
"__setup__.account_invoice_line_87208","__setup__.account_invoice_34905","base.main_company","__setup__.res_partner_6447","__setup__.account_account_721","__setup__.product_template_1985","[MCOTH00513B] Board AsteRx-m2 OEM","100.0","40.0","0.0"
"__setup__.account_invoice_line_87209","__setup__.account_invoice_34905","base.main_company","__setup__.res_partner_6447","__setup__.account_account_721","__setup__.product_template_1612","[TBD] Option RTK/PPK","1900.0","8.0","0.0"
"__setup__.account_invoice_line_87668","__setup__.account_invoice_35062","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","19220.4","1.0","0.0"
"__setup__.account_invoice_line_87678","__setup__.account_invoice_35071","base.main_company","__setup__.res_partner_4939","__setup__.account_account_1534","__setup__.product_template_407","Essais RADIO CE [EN 300328] eBee Plus","2225.0","1.0","0.0"
"__setup__.account_invoice_line_87679","__setup__.account_invoice_35071","base.main_company","__setup__.res_partner_4939","__setup__.account_account_1534","__setup__.product_template_407","Essais RADIO USA et CANADA [FCC Part 15 & RSS-Gen] eBee Plus","1885.0","1.0","0.0"
"__setup__.account_invoice_line_89325","__setup__.account_invoice_35604","base.main_company","__setup__.res_partner_6108","__setup__.account_account_1195","","Board Meeting","153.2","1.0","0.0"
"__setup__.account_invoice_line_86028","__setup__.account_invoice_34515","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","11117.85","1.0","0.0"
"__setup__.account_invoice_line_86030","__setup__.account_invoice_34516","base.main_company","__setup__.res_partner_5768","__setup__.account_account_721","__setup__.product_template_1318","[MCFOM00030A] Messina pyld bay foam","495.3","1.0","0.0"
"__setup__.account_invoice_line_78278","__setup__.account_invoice_31986","base.main_company","__setup__.res_partner_3841","__setup__.account_account_721","__setup__.product_template_1762","[MCSAS00602A] POEM_auto_pilot_HW08","12144.0","1.0","0.0"
"__setup__.account_invoice_line_88199","__setup__.account_invoice_35243","base.main_company","__setup__.res_partner_275","__setup__.account_account_1139","","Redevances radio et télé Q4 2017","151.35","1.0","0.0"
"__setup__.account_invoice_line_88371","__setup__.account_invoice_35303","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Mat. MECA Wind tunnel","20.86","1.0","0.0"
"__setup__.account_invoice_line_84933","__setup__.account_invoice_34171","base.main_company","__setup__.res_partner_5768","__setup__.account_account_721","__setup__.product_template_1582","[TBC] SODA suitcase foam","2913.75","1.0","0.0"
"__setup__.account_invoice_line_88372","__setup__.account_invoice_35303","base.main_company","__setup__.res_partner_65","__setup__.account_account_721","","Mat. HARD ","119.79","1.0","0.0"
"__setup__.account_invoice_line_88349","__setup__.account_invoice_35296","base.main_company","__setup__.res_partner_5120","__setup__.account_account_1534","__setup__.product_template_407","Retractable Propeller Study","4250.0","1.0","0.0"
"__setup__.account_invoice_line_88783","__setup__.account_invoice_35420","base.main_company","__setup__.res_partner_5543","l10n_ch.1_ch_coa_1170","__setup__.product_template_417","[1015] Arrondi TVA sur achats marchandise","-0.01","1.0","0.0"
"__setup__.account_invoice_line_88781","__setup__.account_invoice_35420","base.main_company","__setup__.res_partner_5543","__setup__.account_account_1166","","Câbles Réseau ","53.0","1.0","0.0"
"__setup__.account_invoice_line_88782","__setup__.account_invoice_35420","base.main_company","__setup__.res_partner_5543","__setup__.account_account_1086","","Frais d'envoi","9.0","1.0","0.0"
"__setup__.account_invoice_line_88774","__setup__.account_invoice_35416","base.main_company","__setup__.res_partner_7222","__setup__.account_account_1164","","Comptes office 365","119.9","1.0","0.0"
"__setup__.account_invoice_line_89130","__setup__.account_invoice_35516","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","1497.7","1.0","0.0"
"__setup__.account_invoice_line_89135","__setup__.account_invoice_35519","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","6504.25","1.0","0.0"
"__setup__.account_invoice_line_88717","__setup__.account_invoice_35393","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","5302.9","1.0","0.0"
"__setup__.account_invoice_line_88727","__setup__.account_invoice_35397","base.main_company","__setup__.res_partner_409","__setup__.account_account_1537","","Mat. HARD Kiss","29.23","1.0","0.0"
"__setup__.account_invoice_line_88670","__setup__.account_invoice_35367","base.main_company","__setup__.res_partner_181","__setup__.account_account_1754","","Frais de transport","324.52","1.0","0.0"
"__setup__.account_invoice_line_88726","__setup__.account_invoice_35397","base.main_company","__setup__.res_partner_409","__setup__.account_account_1537","","Mat. Prod","277.8","1.0","0.0"
"__setup__.account_invoice_line_88669","__setup__.account_invoice_35367","base.main_company","__setup__.res_partner_181","__setup__.account_account_1753","","Frais de transport","681.18","1.0","0.0"
"__setup__.account_invoice_line_88719","__setup__.account_invoice_35394","base.main_company","__setup__.res_partner_909","__setup__.account_account_1734","__setup__.product_template_103","[60172] Emballage","485.4","1.0","0.0"
"__setup__.account_invoice_line_89144","__setup__.account_invoice_35528","base.main_company","__setup__.res_partner_293","__setup__.account_account_1115","","Décompte annuel éléctricité 01.09.2017-30.09.2017","3237.1","1.0","0.0"
"__setup__.account_invoice_line_88720","__setup__.account_invoice_35394","base.main_company","__setup__.res_partner_909","l10n_ch.1_ch_coa_1170","__setup__.product_template_417","[1015] Arrondi TVA sur achats marchandise","0.02","1.0","0.0"
"__setup__.account_invoice_line_89286","__setup__.account_invoice_35587","base.main_company","__setup__.res_partner_1276","__setup__.account_account_721","__setup__.product_template_1540","[60205CA] Sfpilot03CA Sensefly provide : ESC cables","11832.8","1.0","0.0"
"__setup__.account_invoice_line_89287","__setup__.account_invoice_35587","base.main_company","__setup__.res_partner_1276","__setup__.account_account_1752","","Frais de transport","27.0","1.0","0.0"
"__setup__.account_invoice_line_89285","__setup__.account_invoice_35586","base.main_company","__setup__.res_partner_5768","__setup__.account_account_721","__setup__.product_template_1318","[MCFOM00030A] Messina pyld bay foam","1062.75","1.0","0.0"
"__setup__.account_invoice_line_89289","__setup__.account_invoice_35587","base.main_company","__setup__.res_partner_1276","l10n_ch.1_ch_coa_1170","__setup__.product_template_417","[1015] Arrondi TVA sur achats marchandise","0.02","1.0","0.0"
"__setup__.account_invoice_line_89275","__setup__.account_invoice_35582","base.main_company","__setup__.res_partner_6447","__setup__.account_account_721","__setup__.product_template_1966","[NR2] Base station custom SF","2305.28","15.0","0.0"
"__setup__.account_invoice_line_89282","__setup__.account_invoice_35585","base.main_company","__setup__.res_partner_360","__setup__.account_account_721","","Comp. HARD KISS","48.9","1.0","0.0"
"__setup__.account_invoice_line_60530","__setup__.account_invoice_26078","base.main_company","__setup__.res_partner_6518","__setup__.account_account_1537","","Ergo primer et Adhésif ","97.95","1.0","0.0"
"__setup__.account_invoice_line_86503","__setup__.account_invoice_34693","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","2153.8","1.0","0.0"
"__setup__.account_invoice_line_77553","__setup__.account_invoice_31767","base.main_company","__setup__.res_partner_3071","__setup__.account_account_1755","","Droit de douane","24.1","1.0","0.0"
"__setup__.account_invoice_line_78788","__setup__.account_invoice_32136","base.main_company","__setup__.res_partner_6056","__setup__.account_account_721","__setup__.product_template_1483","Camera SODA  MP","296.0","250.0","0.0"
"__setup__.account_invoice_line_83043","__setup__.account_invoice_33575","base.main_company","__setup__.res_partner_405","__setup__.account_account_1535","","Statement July 2017","1347.3","1.0","0.0"
"__setup__.account_invoice_line_86121","__setup__.account_invoice_34548","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","379.8","1.0","0.0"
"__setup__.account_invoice_line_85435","__setup__.account_invoice_34348","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","11008.05","1.0","0.0"
"__setup__.account_invoice_line_87035","__setup__.account_invoice_34859","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","3199.45","1.0","0.0"
"__setup__.account_invoice_line_88200","__setup__.account_invoice_35244","base.main_company","__setup__.res_partner_394","__setup__.account_account_1139","","Droit d'auteur Q4","74.93","1.0","0.0"
"__setup__.account_invoice_line_88197","__setup__.account_invoice_35242","base.main_company","__setup__.res_partner_81","__setup__.account_account_1755","","Prestations de service","294.25","1.0","0.0"
"__setup__.account_invoice_line_88480","__setup__.account_invoice_35332","base.main_company","__setup__.res_partner_794","__setup__.account_account_1737","","Café","480.0","1.0","0.0"
"__setup__.account_invoice_line_88202","__setup__.account_invoice_35245","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","5211.85","1.0","0.0"
"__setup__.account_invoice_line_87576","__setup__.account_invoice_35010","base.main_company","__setup__.res_partner_5596","__setup__.account_account_721","__setup__.product_template_1314","[PF740000AA] Parrot Sequoia","15565.78","1.0","0.0"
"__setup__.account_invoice_line_88201","__setup__.account_invoice_35244","base.main_company","__setup__.res_partner_394","__setup__.account_account_1139","","Droit d'auteur Q4","24.95","1.0","0.0"
"__setup__.account_invoice_line_87694","__setup__.account_invoice_35077","base.main_company","__setup__.res_partner_911","__setup__.account_account_721","__setup__.product_template_587","[60242] User manual radio tracker","173.2","1.0","0.0"
"__setup__.account_invoice_line_88357","__setup__.account_invoice_35299","base.main_company","__setup__.res_partner_409","__setup__.account_account_721","","Comp. HARD eBee++","31.2","1.0","0.0"
"__setup__.account_invoice_line_88365","__setup__.account_invoice_35301","base.main_company","__setup__.res_partner_65","l10n_ch.1_ch_coa_1170","__setup__.product_template_417","[1015] Arrondi TVA sur achats marchandise","-0.02","1.0","0.0"
"__setup__.account_invoice_line_88361","__setup__.account_invoice_35301","base.main_company","__setup__.res_partner_65","__setup__.account_account_1537","","Consommables HARD","115.11","1.0","0.0"
"__setup__.account_invoice_line_87705","__setup__.account_invoice_35086","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","8779.9","1.0","0.0"
"__setup__.account_invoice_line_86707","__setup__.account_invoice_34748","base.main_company","__setup__.res_partner_3176","l10n_ch.1_ch_coa_1170","__setup__.product_template_100","[-] TVA à l'importation IPM","730.1","1.0","0.0"
"__setup__.account_invoice_line_88779","__setup__.account_invoice_35418","base.main_company","__setup__.res_partner_7523","__setup__.account_account_1164","","Tapes du 01.09.2017 au 30.09.2017","267.3","1.0","0.0"
