id,product_tmpl_id/id,product_qty,code,active,type,company_id/id,previous_bom_id/id,product_uom_id/id,sequence
"__setup__.mrp_bom_133","__setup__.product_template_496","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","70"
"__setup__.mrp_bom_134","__setup__.product_template_187","1.0","","true","normal","base.main_company","__setup__.mrp_bom_133","product.product_uom_categ_unit",""
"__setup__.mrp_bom_135","__setup__.product_template_287","1.0","","true","normal","base.main_company","__setup__.mrp_bom_133","product.product_uom_categ_unit",""
"__setup__.mrp_bom_136","__setup__.product_template_497","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","69"
"__setup__.mrp_bom_137","__setup__.product_template_198","1.0","","true","normal","base.main_company","__setup__.mrp_bom_136","product.product_uom_categ_unit",""
"__setup__.mrp_bom_138","__setup__.product_template_498","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","68"
"__setup__.mrp_bom_139","__setup__.product_template_174","1.0","","true","normal","base.main_company","__setup__.mrp_bom_138","product.product_uom_categ_unit",""
"__setup__.mrp_bom_140","__setup__.product_template_499","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","67"
"__setup__.mrp_bom_141","__setup__.product_template_894","1.0","","true","normal","base.main_company","__setup__.mrp_bom_140","product.product_uom_categ_unit",""
"__setup__.mrp_bom_142","__setup__.product_template_276","1.0","","true","normal","base.main_company","__setup__.mrp_bom_140","product.product_uom_categ_unit",""
"__setup__.mrp_bom_143","__setup__.product_template_556","1.0","","true","normal","base.main_company","__setup__.mrp_bom_140","product.product_uom_categ_unit",""
"__setup__.mrp_bom_144","__setup__.product_template_502","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","66"
"__setup__.mrp_bom_149","__setup__.product_template_503","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","65"
"__setup__.mrp_bom_150","__setup__.product_template_268","1.0","","true","normal","base.main_company","__setup__.mrp_bom_149","product.product_uom_categ_unit",""
"__setup__.mrp_bom_151","__setup__.product_template_258","1.0","","true","normal","base.main_company","__setup__.mrp_bom_149","product.product_uom_categ_unit",""
"__setup__.mrp_bom_152","__setup__.product_template_269","1.0","","true","normal","base.main_company","__setup__.mrp_bom_149","product.product_uom_categ_unit",""
"__setup__.mrp_bom_153","__setup__.product_template_313","1.0","","true","normal","base.main_company","__setup__.mrp_bom_149","product.product_uom_categ_unit",""
"__setup__.mrp_bom_154","__setup__.product_template_310","1.0","","true","normal","base.main_company","__setup__.mrp_bom_149","product.product_uom_categ_unit",""
"__setup__.mrp_bom_156","__setup__.product_template_504","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","39"
"__setup__.mrp_bom_157","__setup__.product_template_261","1.0","","true","normal","base.main_company","__setup__.mrp_bom_156","product.product_uom_categ_unit",""
"__setup__.mrp_bom_158","__setup__.product_template_894","1.0","","true","normal","base.main_company","__setup__.mrp_bom_156","product.product_uom_categ_unit",""
"__setup__.mrp_bom_163","__setup__.product_template_506","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","64"
