"id","name","company_id/id","currency_id/id","active","discount_policy"
"product.list0","Public Pricelist CHF","base.main_company","base.CHF","true","with_discount"
"__setup__.product_pricelist_6","Prix revendeur 33p CHF","base.main_company","base.CHF","true","with_discount"
"__setup__.product_pricelist_9","Prix revendeur 30p CHF","base.main_company","base.CHF","true","with_discount"
"__setup__.product_pricelist_10","Prix revendeur 25p CHF","base.main_company","base.CHF","true","with_discount"
"__setup__.product_pricelist_20","Prix revendeur 28p CHF","base.main_company","base.CHF","true","with_discount"
"__setup__.product_pricelist_22","Prix revendeur 25p USD","base.main_company","base.USD","true","with_discount"
"__setup__.product_pricelist_29","Sale incoterm senseFly Inc","base.main_company","base.USD","true","with_discount"
"__setup__.product_pricelist_30","Public Pricelist USD","","base.USD","true","with_discount"
"__setup__.product_pricelist_32","Reseller price INC","__setup__.company_mte","base.USD","true","with_discount"
"__setup__.product_pricelist_34","Public Pricelist INC / Direct Sales","__setup__.company_mte","base.USD","true","with_discount"
"__setup__.product_pricelist_35","Reseller price INC 25p","__setup__.company_mte","base.USD","true","with_discount"
"__setup__.product_pricelist_36","Reseller price INC 28p","__setup__.company_mte","base.USD","true","with_discount"
"__setup__.product_pricelist_37","Reseller price INC 30p","__setup__.company_mte","base.USD","true","with_discount"
"__setup__.product_pricelist_39","Public Pricelist EUR","base.main_company","base.EUR","true","with_discount"
"__setup__.product_pricelist_41","Prix revendeur 25p EUR","base.main_company","base.EUR","true","with_discount"
"__setup__.product_pricelist_42","Prix revendeur 28p EUR","base.main_company","base.EUR","true","with_discount"
"__setup__.product_pricelist_43","Prix revendeur 30p EUR","base.main_company","base.EUR","true","with_discount"
"__setup__.product_pricelist_44","Prix revendeur 28p USD","base.main_company","base.USD","true","with_discount"
"__setup__.product_pricelist_45","Prix revendeur 30p USD","base.main_company","base.USD","true","with_discount"
"__setup__.product_pricelist_46","Prix revendeur 33p EUR","base.main_company","base.EUR","true","with_discount"
