"id","pricelist_id/id","sequence","currency_id/id","compute_price","price_discount","price_surcharge","fixed_price","applied_on","min_quantity","date_start","date_end","product_id/id","price_category_id/id","base","base_pricelist_id/id"
"__setup__.product_pricelist_item_2639","__setup__.product_pricelist_29","5","base.USD","fixed","-1.0","850.0","850.0","1_product","0","2017-01-01","","__setup__.product_template_1661","","list_price",""
"__setup__.product_pricelist_item_353","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","80.0","80.0","1_product","0","2016-01-01","","__setup__.product_template_131","","list_price",""
"__setup__.product_pricelist_item_354","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","50.0","50.0","1_product","0","2016-01-01","","__setup__.product_template_234","","list_price",""
"__setup__.product_pricelist_item_355","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","70.0","70.0","1_product","0","2016-01-01","","__setup__.product_template_468","","list_price",""
"__setup__.product_pricelist_item_356","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","30.0","30.0","1_product","0","2016-01-01","","__setup__.product_template_133","","list_price",""
"__setup__.product_pricelist_item_357","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","950.0","950.0","1_product","0","2016-01-01","","__setup__.product_template_478","","list_price",""
"__setup__.product_pricelist_item_358","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","40.0","40.0","1_product","0","2016-01-01","","__setup__.product_template_1219","","list_price",""
"__setup__.product_pricelist_item_359","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","10990.0","10990.0","1_product","0","2016-01-01","","__setup__.product_template_600","","list_price",""
"__setup__.product_pricelist_item_360","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","20.0","20.0","1_product","0","2016-01-01","","__setup__.product_template_124","","list_price",""
"__setup__.product_pricelist_item_361","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","390.0","390.0","1_product","0","2016-01-01","","__setup__.product_template_486","","list_price",""
"__setup__.product_pricelist_item_362","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","110.0","110.0","1_product","0","2016-01-01","","__setup__.product_template_496","","list_price",""
"__setup__.product_pricelist_item_363","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","280.0","280.0","1_product","0","2016-01-01","","__setup__.product_template_497","","list_price",""
"__setup__.product_pricelist_item_364","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","50.0","50.0","1_product","0","2016-01-01","","__setup__.product_template_498","","list_price",""
"__setup__.product_pricelist_item_365","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","280.0","280.0","1_product","0","2016-01-01","","__setup__.product_template_499","","list_price",""
"__setup__.product_pricelist_item_366","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","40.0","40.0","1_product","0","2016-01-01","","__setup__.product_template_485","","list_price",""
"__setup__.product_pricelist_item_367","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","40.0","40.0","1_product","0","2016-01-01","","__setup__.product_template_493","","list_price",""
"__setup__.product_pricelist_item_368","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","60.0","60.0","1_product","0","2016-01-01","","__setup__.product_template_495","","list_price",""
"__setup__.product_pricelist_item_369","__setup__.product_pricelist_34","5","base.USD","fixed","-1.0","190.0","190.0","1_product","0","2016-01-01","","__setup__.product_template_494","","list_price",""
