id,default_code,name,type,active,list_price,sale_ok,purchase_ok,validated,standard_price,tracking
__setup__.product_template_1456,60387,Sfpilot EB Stock (sans calibration),consu,true,1,false,true,true,110.71,none
__setup__.product_template_1463,60388,AAFF sticker Battery 30%,consu,true,1,false,true,true,0.08,none
__setup__.product_template_1696,702-60-01,retro-fit kit RTK,consu,true,700,true,true,true,29.05,none
__setup__.product_template_1874,704-90-01,EX air modem,consu,true,750,true,false,true,262.52,none
__setup__.product_template_1462,MCRUB00203A,O ring 2mm x 20mm POEM,consu,true,1,false,true,true,0.12,none
__setup__.product_template_386,1005,Equipement amorti - outillage,consu,true,1,false,true,true,850,none
__setup__.product_template_389,1006,Equipement R&D,consu,true,1,false,true,true,96.72,none
__setup__.product_template_1662,MCLAB00565B,bigbee body pyld sticker (gold),consu,true,1,false,true,true,0.14,none
__setup__.product_template_1900,SF_EBPP_FLEX_HW0,SF_EBPP_FLEX_HW00,consu,true,1,false,true,true,0,none
__setup__.product_template_1681,MCLAB00564A,POEM_body_top_adhesive_rear_vertical,product,true,1,false,true,true,0.04,none
__setup__.product_template_1461,MCFAS00386A,Spacer Round OD6.3xID3.2xH8mm,consu,true,1,false,true,true,0.01,none
__setup__.product_template_1542,MCFAS00405A,Screw m3 x10 countersunk 8mm galvanized steel,consu,true,1,false,true,true,0.03,none
__setup__.product_template_1763,705-02-07,eBee SQ Extend 1,service,true,1800,true,false,true,0,none
__setup__.product_template_1664,TBC,Wing check sticker left,consu,true,1,false,true,true,0.08,none
__setup__.product_template_1513,MCOTH00491A,Albris operational checklist,consu,true,1,false,true,true,0.2,none
__setup__.product_template_1519,ES1,Poem Assembly,consu,true,1,false,false,true,836.19,none
__setup__.product_template_1507,60393,User Manual Storage charger ,consu,true,1,false,true,true,0.07,none
__setup__.product_template_1475,TBC,NAP-PCB-ANT-2G4-ASSY,consu,true,1,false,true,true,1.84,none
__setup__.product_template_1865,,SI002001AA7A00403,consu,true,1,true,true,true,0,none
__setup__.product_template_728,60277,"QUARK640, 9mm f/1.4, slow video (50640009H-SPNLX)",consu,true,1,false,true,true,4016.64,none
__setup__.product_template_261,60110,Motor Brushless Axi 2208/26 eBee,consu,true,1,false,true,true,41.79,none
__setup__.product_template_1858,MAPPER-AG-YEAR,"Pix4Dag, Yearly rental license",consu,true,1399,true,false,true,0,none
__setup__.product_template_1919,,retro,consu,true,1,true,true,true,0,none
__setup__.product_template_1533,MCOTH00496A,Renfort ecrou body POEM,consu,true,1,false,true,true,0.07,none
__setup__.product_template_1512,MCSAS00333G,Module US (CV cam integrée) (HW05),consu,true,1,false,true,true,49.72,none
__setup__.product_template_1901,MCRUB00218,eBee++_pitot2_probe_silicon,consu,true,1,false,true,true,0,none
__setup__.product_template_752,CPCON01222A,Molex - 105028-1001,consu,true,1,false,true,true,1.56,none
__setup__.product_template_403,1011,Prestation de tiers P&I,service,true,1,false,true,true,1,none
__setup__.product_template_67,-,Assurance,service,true,1,false,true,true,1,none
__setup__.product_template_1902,MCCBL00098C,POEM_modem_antenna_cable,consu,true,1,false,true,true,2.06,none
__setup__.product_template_1492,MCPKG00927A,Hard shell case Poem,consu,true,1,false,true,true,97.13,none
__setup__.product_template_1481,702-53-01,EB charger balance cable (not for resale),consu,true,10,true,true,true,5.4,none
__setup__.product_template_1458,702-50-01,EB RTK board,consu,true,5325,true,false,true,4221.26,none
__setup__.product_template_696,60271AA,Foam up Ebee,consu,true,1,false,true,true,0.3,none
__setup__.product_template_1551,TBC,"Spacers TH-0,8-3,0-M3",consu,true,1,false,true,true,0.68,none
__setup__.product_template_726,MCFAS00450A,Screw M2.5x6mm knurledhead hex steel,consu,true,1,false,true,true,0.15,none
__setup__.product_template_1405,G9X1,G9X assembly,consu,true,0,false,false,true,373.92,none
__setup__.product_template_1935,HWPCB00857D,SF_EBEE_PLUS_GS_HW02  ,consu,true,1,false,true,true,0,none
__setup__.product_template_697,60272AA,Foam small rectangle Ebee,consu,true,1,false,true,true,0.01,none
__setup__.product_template_777,60291,PCB SF RTK,consu,true,1,false,true,true,33.58,none
__setup__.product_template_1431,MCMOT00016A,AXI 2808/20 V1,consu,true,1,false,true,true,40.65,none
__setup__.product_template_1440,MCCBL00056A,Cable OF ebee/Poem,consu,true,1,false,true,true,0.17,none
__setup__.product_template_1868,60418,SD card case,consu,true,1,false,true,true,0.15,none
__setup__.product_template_1309,701-04-01,camera cable upgrade kit,consu,true,35,false,true,true,0,none
__setup__.product_template_1911,P2400 GROUND,Ground station - modem P2400,consu,true,1,false,false,true,117.76,none
__setup__.product_template_1041,MCELE00361D,sfx1_body_butt_flex,consu,true,1,false,true,true,0.25,none
__setup__.product_template_1490,,HA100003AA,consu,true,1,true,true,true,0,none
