"id","name","parent_id/id","type","property_valuation"
"__setup__.product_category_material","Material","product.product_category_all","view","manual_periodic"
"__setup__.product_category_drone","Drone","__setup__.product_category_material","normal","manual_periodic"
"__setup__.product_category_cb","Central Body","__setup__.product_category_material","normal","manual_periodic"
"__setup__.product_category_sp","Spare parts","__setup__.product_category_material","normal","manual_periodic"
"__setup__.product_category_pay","Payload","__setup__.product_category_material","normal","manual_periodic"
"__setup__.product_category_mark","Marketing","__setup__.product_category_material","normal","manual_periodic"
"__setup__.product_category_service","Service","product.product_category_all","view","manual_periodic"
"__setup__.product_category_mr","Maintenance & Repair","__setup__.product_category_service","normal","manual_periodic"
"__setup__.product_category_training","Training","__setup__.product_category_service","normal","manual_periodic"
"__setup__.product_category_ew","Extended Warranty","__setup__.product_category_service","normal","manual_periodic"
"__setup__.product_category_software","Software","product.product_category_all","normal","manual_periodic"
"__setup__.product_category_accounting","Accounting","product.product_category_all","normal","manual_periodic"
