"id","company_id/id","name","origin","partner_id/id","date_order","incoterm_id/id","date_planned","partner_ref","state","payment_term_id/id","fiscal_position_id/id","second_vendor_id/id","notes","currency_id/id"
"__setup__.purchase_order_2957","base.main_company","PO201701033047","","__setup__.res_partner_381","2017-01-03","","2017-03-03","","done","","l10n_ch.1_fiscal_position_template_import","","","base.EUR"
"__setup__.purchase_order_2958","base.main_company","PO201701033049","","__setup__.res_partner_4632","2017-01-03","","2017-03-03","","purchase","","","","","base.EUR"
"__setup__.purchase_order_2959","__setup__.company_inc","PO20170103060","Q201701045767","__setup__.res_partner_5742","2017-01-03","","2017-01-03","","done","","","","","base.USD"
"__setup__.purchase_order_2960","__setup__.company_inc","PO20170103061","","__setup__.res_partner_5742","2017-01-03","","2017-01-03","Q201701045771","done","","","","Please send V2 S.O.D.A. only. Extra screws for the vertical surfaces, albris body screws (MCFAS0274C), and albris top cover screws.  Urgent items:  EP vertical surfaces wings propeller SC-EB EB lower body (V3)","base.USD"
"__setup__.purchase_order_2961","__setup__.company_inc","PO20170103062","","__setup__.res_partner_5742","2017-01-03","","2017-01-03","Q201701045769","done","","","","No rush on eBee batteries. Still have around 40 ESEP batteries in stock as of Jan 3.","base.USD"
"__setup__.purchase_order_2962","base.main_company","PO201701043051","","__setup__.res_partner_6447","2017-01-04","","2017-01-09","","purchase","","","","","base.EUR"
"__setup__.purchase_order_2963","base.main_company","PO201701043052","","__setup__.res_partner_1023","2017-01-04","","2017-01-26","","done","","l10n_ch.1_fiscal_position_template_import","","","base.USD"
"__setup__.purchase_order_2964","base.main_company","PO201701053054","","__setup__.res_partner_809","2017-01-05","","2017-01-13","Mail du 05.01.2016","purchase","","","","","base.USD"
"__setup__.purchase_order_2965","__setup__.company_inc","PO20170106063","Q201701065791","__setup__.res_partner_5742","2017-01-06","","2017-01-06","","done","","","","Ship via Air.","base.USD"
"__setup__.purchase_order_2966","base.main_company","PO201701063056","","__setup__.res_partner_919","2017-01-06","","2017-01-06","","done","","","","","base.EUR"
"__setup__.purchase_order_2967","base.main_company","PO201701093057","","__setup__.res_partner_6380","2017-01-09","","2017-01-09","","purchase","","","","","base.USD"
"__setup__.purchase_order_2968","base.main_company","PO201701093059","","__setup__.res_partner_5063","2017-01-09","","2017-01-09","mail du 7.01.2017","purchase","","","","","base.USD"
"__setup__.purchase_order_2973","base.main_company","PO201701093068","","__setup__.res_partner_5603","2017-01-09","","2017-01-09","","purchase","","","","","base.USD"
"__setup__.purchase_order_2974","base.main_company","PO201701093070","","__setup__.res_partner_3715","2017-01-09","","2017-01-12","Offre OF1 OTE029523","purchase","","","","","base.CHF"
"__setup__.purchase_order_2975","base.main_company","PO201701093072","","__setup__.res_partner_3145","2017-01-09","","2017-01-20","Mail du 09.01.2017","purchase","","","","","base.EUR"
"__setup__.purchase_order_2977","base.main_company","PO201701103075","","__setup__.res_partner_1291","2017-01-10","","2017-01-10","FACTURA 35000001","purchase","","","","","base.EUR"
"__setup__.purchase_order_2978","base.main_company","PO201701103077","","__setup__.res_partner_911","2017-01-10","","2017-01-10","Offre_3395 Mail du 10.01.2016","purchase","","","","","base.CHF"
"__setup__.purchase_order_2979","base.main_company","PO201701113079","","__setup__.res_partner_4640","2017-01-11","","2017-01-11","","purchase","","","","","base.USD"
"__setup__.purchase_order_2981","base.main_company","PO201701113082","","__setup__.res_partner_919","2017-01-11","","2017-01-11","","purchase","","","","","base.EUR"
"__setup__.purchase_order_2982","base.main_company","PO201701113084","","__setup__.res_partner_136","2017-01-11","","2017-01-11","Price quotation no. 2-887727 mail du 11.01.17","purchase","","","","","base.CHF"
"__setup__.purchase_order_2983","base.main_company","PO201701113086","","__setup__.res_partner_5768","2017-01-11","","2017-02-06","Offre DH1602.142 Mail du 11.01.2017","purchase","","","","","base.EUR"
"__setup__.purchase_order_2984","base.main_company","PO201701113088","","__setup__.res_partner_4455","2017-01-11","","2017-01-11","Mail du 11.01.2017","purchase","","","","","base.EUR"
"__setup__.purchase_order_2985","base.main_company","PO201701123090","","__setup__.res_partner_4640","2017-01-12","","2017-01-23","Mail du 12.01.2016","purchase","","","","","base.USD"
"__setup__.purchase_order_2986","base.main_company","PO201701123092","","__setup__.res_partner_538","2017-01-12","","2017-02-28","Reference No: 16051076-5A Mail du 12.01.2017","purchase","","","","","base.USD"
"__setup__.purchase_order_2988","base.main_company","PO201701123095","","__setup__.res_partner_697","2017-01-12","","2017-01-12","","purchase","","","","","base.EUR"
"__setup__.purchase_order_2989","__setup__.company_inc","PO20170112064","","__setup__.res_partner_5742","2017-01-12","","2017-01-12","","done","","","","All V2 S.O.D.A.  Send 25x CW (square) stickers. Ordered (CCW) round to correct previous shipment (PO20161205056) of all round stickers received.  Please send 25 of the 20mm foam blocks that go with the modified eBee lower bodies.","base.USD"
"__setup__.purchase_order_2990","base.main_company","PO201701133096","","__setup__.res_partner_6489","2017-01-23","","2017-01-13","","purchase","","","","","base.USD"
"__setup__.purchase_order_2991","base.main_company","PO201701133098","","__setup__.res_partner_425","2017-01-13","","2017-01-13","","done","","","","","base.CHF"
"__setup__.purchase_order_2992","base.main_company","PO201701133099","","__setup__.res_partner_4954","2017-01-13","","2017-01-13","","purchase","","","","","base.EUR"
"__setup__.purchase_order_2993","base.main_company","PO201701163101","","__setup__.res_partner_6056","2017-01-16","","2017-04-18","","done","","","","Trade Term: FCA Jakarta Payment Terms: Net 30 Days from Delivery Requested Delivery Period: 21 April- 25 April 2017 Requested Delivery Date: 22 April 2017","base.USD"
