"id","order_id/id","name","partner_id/id","product_id/id","price_unit","product_uom/id","product_qty","state","date_planned"
"__setup__.purchase_order_line_6190","__setup__.purchase_order_2957","[MCMOT00016B] AXI 2808/20 V2 BLACK (fix wing verion 3 holes for the propeller holder, no shaft)","__setup__.res_partner_381","__setup__.product_template_1459","36.8","product.product_uom_categ_unit","500.0","to approve","2017-03-03"
"__setup__.purchase_order_line_6192","__setup__.purchase_order_2958","[MCOTH00473A] Speed controller YGE 60 (fast reverse, special software)","__setup__.res_partner_4632","__setup__.product_template_1445","57.0","product.product_uom_categ_unit","500.0","to approve","2017-03-03"
"__setup__.purchase_order_line_6193","__setup__.purchase_order_2959","[706-01-01] eBee Plus RTK/PPK upgrade","__setup__.res_partner_5742","__setup__.product_template_1663","2863.71","product.product_uom_categ_unit","20.0","to approve","2017-01-03"
"__setup__.purchase_order_line_6199","__setup__.purchase_order_2960","[702-10-01] EB lower body","__setup__.res_partner_5742","__setup__.product_template_511","14.77","product.product_uom_categ_unit","2.0","to approve","2017-01-03"
"__setup__.purchase_order_line_6194","__setup__.purchase_order_2960","[502-50-01] senseFly S.O.D.A. with EB Integration kit","__setup__.res_partner_5742","__setup__.product_template_1661","344.08","product.product_uom_categ_unit","10.0","to approve","2017-01-03"
"__setup__.purchase_order_line_6203","__setup__.purchase_order_2960","[504-01-01] wing pair ESEP","__setup__.res_partner_5742","__setup__.product_template_1596","16.61","product.product_uom_categ_unit","15.0","to approve","2017-01-03"
"__setup__.purchase_order_line_6202","__setup__.purchase_order_2960","[502-01-01] wing pair EB","__setup__.res_partner_5742","__setup__.product_template_328","30.96","product.product_uom_categ_unit","30.0","to approve","2017-01-03"
"__setup__.purchase_order_line_6212","__setup__.purchase_order_2960","[500-03-01] single charger 220/110/12V for EB battery","__setup__.res_partner_5742","__setup__.product_template_330","28.11","product.product_uom_categ_unit","10.0","to approve","2017-01-03"
"__setup__.purchase_order_line_6211","__setup__.purchase_order_2960","[504-14-01] EP vertical surfaces (pair)","__setup__.res_partner_5742","__setup__.product_template_1669","1.13","product.product_uom_categ_unit","20.0","to approve","2017-01-03"
"__setup__.purchase_order_line_6206","__setup__.purchase_order_2960","[500-01-03] WX RGB camera 18MP","__setup__.res_partner_5742","__setup__.product_template_848","220.36","product.product_uom_categ_unit","5.0","to approve","2017-01-03"
