"id","company_id/id","name","origin","partner_id/id","date_order","pricelist_id/id","incoterm/id","user_id/id","confirmation_date","client_order_ref","state"
"__setup__.sale_order_7257","__setup__.company_inc","Q20170116712","","__setup__.res_partner_5173","2017-01-16","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-01-16","15971","sale"
"__setup__.sale_order_6872","__setup__.company_inc","Q20161118591","","__setup__.res_partner_6723","2017-01-06","product.list0","stock.incoterm_DAP","__setup__.res_users_142","2017-01-19","0000014863","sale"
"__setup__.sale_order_7808","base.main_company","Q201703166226","","__setup__.res_partner_630","2017-03-16","product.list0","stock.incoterm_EXW","__setup__.res_users_52","2017-03-16","","done"
"__setup__.sale_order_7544","__setup__.company_inc","Q20170220807","","__setup__.res_partner_3149","2017-02-20","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-02-20","08349","sale"
"__setup__.sale_order_7319","__setup__.company_inc","Q20170124732","","__setup__.res_partner_5173","2017-01-24","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-01-24","15998","done"
"__setup__.sale_order_7759","__setup__.company_inc","Q20170313895","","__setup__.res_partner_6213","2017-03-13","product.list0","stock.incoterm_DAP","__setup__.res_users_142","2017-03-13","","sale"
"__setup__.sale_order_9063","__setup__.company_inc","Q201708041363","","__setup__.res_partner_5","2017-08-04","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-08-04","375","sale"
"__setup__.sale_order_8680","base.main_company","Q201706206845","","__setup__.res_partner_91","2017-06-20","product.list0","stock.incoterm_FCA","__setup__.res_users_134","2017-06-21","SFLY-031-2017","done"
"__setup__.sale_order_7392","__setup__.company_inc","Q20170202759","","__setup__.res_partner_6583","2017-02-02","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-02-02","9417-E","done"
"__setup__.sale_order_8963","__setup__.company_inc","Q201707211328","","__setup__.res_partner_3335","2017-07-21","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-07-21","WG67496","done"
"__setup__.sale_order_7439","__setup__.company_inc","Q20170207774","","__setup__.res_partner_1224","2017-02-07","product.list0","stock.incoterm_EXW","__setup__.res_users_131","2017-02-07","531","sale"
"__setup__.sale_order_8338","base.main_company","Q201705126599","","__setup__.company_inc","2017-05-12","product.list0","","__setup__.res_users_37","2017-05-12","PO20170512108","done"
"__setup__.sale_order_7260","base.main_company","Q201701175830","","__setup__.res_partner_5939","2017-01-17","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-01-17","","done"
"__setup__.sale_order_7931","base.main_company","Q201703306317","","__setup__.res_partner_6451","2017-03-30","product.list0","stock.incoterm_DAP","__setup__.res_users_77","2017-03-30","","done"
"__setup__.sale_order_7559","base.main_company","Q201702216053","","__setup__.company_inc","2017-02-21","product.list0","stock.incoterm_DAP","__setup__.res_users_37","2017-02-21","PO20170221072","done"
"__setup__.sale_order_7461","base.main_company","Q201702095977","","__setup__.res_partner_6360","2017-02-09","product.list0","stock.incoterm_FCA","__setup__.res_users_53","2017-02-09","sF_20170209_BRPLUS","done"
"__setup__.sale_order_9139","__setup__.company_inc","Q201708141386","","__setup__.res_partner_6583","2017-08-14","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-08-14","5117-P","done"
"__setup__.sale_order_7584","base.main_company","Q201702236065","","__setup__.res_partner_6981","2017-02-27","product.list0","stock.incoterm_DAP","__setup__.res_users_53","2017-03-03","4209661/K100","done"
"__setup__.sale_order_7621","base.main_company","Q201703016092","","__setup__.res_partner_601","2017-03-01","product.list0","stock.incoterm_DDP","__setup__.res_users_77","2017-03-01","","done"
"__setup__.sale_order_7610","base.main_company","Q201702286083","","__setup__.company_inc","2017-02-28","product.list0","stock.incoterm_DAP","__setup__.res_users_37","2017-02-28","PO20170228076","done"
"__setup__.sale_order_8358","base.main_company","Q201705156619","","__setup__.res_partner_604","2017-05-15","product.list0","stock.incoterm_EXW","__setup__.res_users_53","2017-05-15","","done"
"__setup__.sale_order_7222","__setup__.company_inc","Q20170110695","","__setup__.res_partner_3970","2017-01-10","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-01-11","0100064399","sale"
"__setup__.sale_order_7481","base.main_company","Q201702125988","","__setup__.res_partner_6868","2017-02-12","product.list0","stock.incoterm_DAP","__setup__.res_users_77","","","draft"
