"id","code","name","number_next","company_id/id","padding","number_increment","prefix","active","suffix","implementation"
"__setup__.ir_sequence_106","","Creance Client","126","base.main_company","4","1","CRCL/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_264","JP","Journal JP Morgan Chase","1254","__setup__.company_mte","4","1","JP/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_276","jpaus","Journal Paypal USD","778","__setup__.company_mte","4","1","jpaus/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_26","scnj","Sales Refund Journal","465","base.main_company","4","1","CN%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_265","SFSA","senseFly SA","119","__setup__.company_mte","4","1","SFSA/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_27","ecnj","Purchase Refund Journal","215","base.main_company","4","1","ecnj/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_239","purchase.order","Purchase Order","143","__setup__.company_mte","3","1","PO%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_143","jcr","Journal Customer Refund","133","base.main_company","4","1","jcr/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_250","scnj","Sales Refund Journal","125","__setup__.company_mte","4","1","CN%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_234","mrp.production","Production order","373","__setup__.company_mte","5","1","MO/","true","","no_gap"
"__setup__.ir_sequence_186","","Creance Client","43","__setup__.company_mte","4","1","CRCL/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_47","jvisa","J_Visa","1293","base.main_company","4","1","jvisa/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_46","jpaus","Journal Paypal USD","845","base.main_company","4","1","jpaus/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_164","account.journal","Account Journal","484","__setup__.company_mte","0","1","","true","","no_gap"
"__setup__.ir_sequence_24","payment.order","Payment order","60","base.main_company","3","1","%(year)s/","true","","no_gap"
"__setup__.ir_sequence_55","payeu","Journal Paypal EUR","509","base.main_company","4","1","payeu/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_99","jpagbp","Journal Paypal GBP","37","base.main_company","4","1","jpagbp/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_48","ecrit","Journal d'écriture","114","base.main_company","4","1","ecrit/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_28","stock.picking.in","Picking IN","4417","base.main_company","2","1","R%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_30","stock.picking","Picking INT","10325","base.main_company","2","1","IM%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_197","jcr","Journal Customer Refund","11","__setup__.company_mte","4","1","jcr/%(year)s/","true","","no_gap"
"sale.seq_sale_order_inc","sale.order","Sales Order","1542","__setup__.company_mte","3","1","Q%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_59","jpeur","Journal de poste EUR","456","base.main_company","4","1","jpeur/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_6","account.journal","Account Journal","14731","base.main_company","0","1","","true","","no_gap"
"__setup__.ir_sequence_29","stock.picking.out","Picking OUT","9417","base.main_company","3","1","DN%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_36","mrp.production","Production order","17956","base.main_company","5","1","MO/","true","","no_gap"
"__setup__.ir_sequence_53","sal","Journal des salaires","2807","base.main_company","4","1","sal/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_237","account.journal","Purchase Journal","1190","__setup__.company_mte","5","1","EXJ/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_49","purchase.order","Purchase Order","4162","base.main_company","3","1","PO%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_45","paych","Journal Paypal CHF","297","base.main_company","4","1","paych/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_225","stock.picking","Picking INT","408","__setup__.company_mte","2","1","IM%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_60","jpusd","Journal de poste USD","582","base.main_company","4","1","jpusd/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_105","jaud","Journal Paypal AUD","82","base.main_company","4","1","jpaud/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_245","account.journal","Sale Journal","1603","__setup__.company_mte","2","1","I%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_43","j_rap","Journal de rapprochement","87","base.main_company","4","1","j_rap/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_14","account.reconcile","Account reconcile sequence","5438","base.main_company","0","1","A","true","","no_gap"
"sale.seq_sale_order","sale.order","Sales Order","7577","base.main_company","3","1","Q%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_9","account.journal","Purchase Journal","22251","base.main_company","5","1","EXJ/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_223","stock.picking.in","Picking IN","713","__setup__.company_mte","2","1","R%(year)s%(month)s%(day)s","true","","no_gap"
"__setup__.ir_sequence_240","ecnj","Purchase Refund Journal","18","__setup__.company_mte","4","1","ecnj/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_263","SFInc","Journal c/c senseFly Inc","118","base.main_company","4","1","SFInc/%(year)s/","true","","no_gap"
"__setup__.ir_sequence_7","account.journal","Sale Journal","6899","base.main_company","2","1","I%(year)s%(month)s%(day)s","true","","no_gap"
