"id","name","product_id/id","warehouse_id/id","location_id/id","company_id/id","product_min_qty","product_max_qty","qty_multiple","lead_days"
"__setup__.stock_warehouse_orderpoint_1463","60388","__setup__.product_template_1463","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1462","MCRUB00203A","__setup__.product_template_1462","stock.warehouse0","stock.stock_location_stock","base.main_company","4500.0","4501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1662","MCLAB00565B","__setup__.product_template_1662","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1759","MCOTH00532A","__setup__.product_template_1759","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1542","MCFAS00405A","__setup__.product_template_1542","stock.warehouse0","stock.stock_location_stock","base.main_company","2500.0","2501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1901","MCRUB00218","__setup__.product_template_1901","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1533","MCOTH00496A","__setup__.product_template_1533","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1902","MCCBL00098C","__setup__.product_template_1902","stock.warehouse0","stock.stock_location_stock","base.main_company","400.0","401.0","1","1"
"__setup__.stock_warehouse_orderpoint_1556","MCRUB00210A","__setup__.product_template_1556","stock.warehouse0","stock.stock_location_stock","base.main_company","4500.0","4501.0","1","1"
"__setup__.stock_warehouse_orderpoint_696","60271AA","__setup__.product_template_696","stock.warehouse0","stock.stock_location_stock","base.main_company","116.0","117.0","1","1"
"__setup__.stock_warehouse_orderpoint_1611","MCOTH00513A","__setup__.product_template_1611","stock.warehouse0","stock.stock_location_stock","base.main_company","150.0","151.0","1","1"
"__setup__.stock_warehouse_orderpoint_697","60272AA","__setup__.product_template_697","stock.warehouse0","stock.stock_location_stock","base.main_company","116.0","117.0","1","1"
"__setup__.stock_warehouse_orderpoint_777","60291","__setup__.product_template_777","stock.warehouse0","stock.stock_location_stock","base.main_company","166.0","167.0","1","1"
"__setup__.stock_warehouse_orderpoint_1440","MCCBL00056A","__setup__.product_template_1440","stock.warehouse0","stock.stock_location_stock","base.main_company","900.0","901.0","1","1"
"__setup__.stock_warehouse_orderpoint_1868","60418","__setup__.product_template_1868","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
