"id","groups_id/id"
"__setup__.res_users_72","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_135","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_11","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,stock.group_stock_manager,mrp.group_mrp_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_195","sf_rma.group_rma_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_84","helpdesk.group_helpdesk_user"
"__setup__.res_users_32","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,stock.group_stock_user,account.group_account_manager,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_144","sf_rma.group_rma_manager,sales_team.group_sale_manager,stock.group_stock_manager,mrp.group_mrp_manager,account.group_account_manager,purchase.group_purchase_manager,helpdesk.group_helpdesk_user"
"__setup__.res_users_183","sf_rma.group_rma_user,sales_team.group_sale_salesman,helpdesk.group_helpdesk_user"
"__setup__.res_users_74","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_124","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_142","sales_team.group_sale_salesman_all_leads,helpdesk.group_helpdesk_user"
"__setup__.res_users_16","sales_team.group_sale_manager,stock.group_stock_user,account.group_account_invoice,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_27","helpdesk.group_helpdesk_user"
"__setup__.res_users_147","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_111","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_52","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_150","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_151","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_77","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_120","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_18","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_83","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_90","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_198","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,mrp.group_mrp_user,account.group_account_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_189","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_169","stock.group_stock_user,mrp.group_mrp_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_127","sf_rma.group_rma_user,stock.group_stock_user,mrp.group_mrp_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_99","sf_rma.group_rma_user,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_201","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,helpdesk.group_helpdesk_user"
